E1,E2,E3,E4
0.0,0.0,0.0,0.0
3.012138808453476e-08,3.781388994910899e-08,5.386218780571284e-08,1.540788528671012e-09
1.1914868877658155e-07,1.495772979741026e-07,2.1305822407287018e-07,6.094772303589255e-09
2.651279052698366e-07,3.328372197696219e-07,4.7409400157392357e-07,1.3561960124004462e-08
4.6616307886865143e-07,5.85213510108894e-07,8.335791593037075e-07,2.384529035410978e-08
7.204012622136593e-07,9.043800307043407e-07,1.2882002441994265e-06,3.684988773404857e-08
1.0260325192817756e-06,1.2880646502075789e-06,1.8347207111406547e-06,5.248306337991435e-08
1.3812899253861979e-06,1.7340492442094204e-06,2.4699809229493373e-06,7.065431478375092e-08
1.7844495671764053e-06,2.2401696952398726e-06,3.1908981503897877e-06,9.127532581355221e-08
2.2338305426381594e-06,2.804315892768138e-06,3.994466572168694e-06,1.1425996671326245e-07
2.7277949610935033e-06,3.4244317332026107e-06,4.877757274935104e-06,1.3952429410277586e-07
3.264747943200763e-06,4.098515119890885e-06,5.83791825328045e-06,1.6698655097793717e-07
3.84265413712275e-06,4.824010626832851e-06,6.871310378653675e-06,1.9654334421123897e-07
4.45966509998428e-06,5.598597549784306e-06,7.974628561775657e-06,2.2810056567891334e-07
5.114511887038468e-06,6.42068308633037e-06,9.145603352714866e-06,2.6159272334164844e-07
5.80594330373786e-06,7.288696709255248e-06,1.0381997055689592e-05,2.9695525539649535e-07
6.532725905734418e-06,8.201090166542206e-06,1.1681603729067944e-05,3.341245302768676e-07
7.293643998879535e-06,9.15633748137359e-06,1.3042249185367849e-05,3.730378466525418e-07
8.087499639224026e-06,1.015293495213081e-05,1.4461790991257051e-05,4.136334334296569e-07
8.91311263301813e-06,1.1189401152394349e-05,1.5938118467553115e-05,4.558504497507149e-07
9.769320536711515e-06,1.226427693094377e-05,1.7469152689223432e-05,4.996289849945803e-07
1.0654978656953274e-05,1.3376125411757697e-05,1.9052846485385208e-05,5.449100587764806e-07
1.1568960050591914e-05,1.4523531994013825e-05,2.068718443930546e-05,5.916356209480056e-07
1.251015552467538e-05,1.5705104352088927e-05,2.237018288840103e-05,6.397485515971082e-07
1.3477473636451047e-05,1.6919472435558852e-05,2.4099889924238604e-05,6.89192661048104e-07
1.4469840693365685e-05,1.8165288469198503e-05,2.5874385392534627e-05,7.399126898616709e-07
1.548620075306553e-05,1.9441226952981872e-05,2.7691780893155436e-05,7.918543088348502e-07
1.65255156233962e-05,2.0745984662082006e-05,2.9550219780117133e-05,8.449641190010454e-07
1.7586764862402777e-05,2.2078280646871036e-05,3.144787716158566e-05,8.991896516300226e-07
1.8668945778329752e-05,2.3436856232920175e-05,3.33829598998768e-05,9.544793682279118e-07
1.9771073429621027e-05,2.4820475020999663e-05,3.53537066114561e-05,1.0107826605372039e-06
2.0892180624919948e-05,2.622792288707887e-05,3.735838766693897e-05,1.068049850536754e-06
2.2031317923069286e-05,2.7658007982326197e-05,3.939530519109066e-05,1.1262321904417793e-06
2.3187553633111215e-05,2.9109560733109124e-05,4.146279306282615e-05,1.1852818627038594e-06
2.435997381428737e-05,3.058143384099422e-05,4.3559216915210356e-05,1.245151980010938e-06
2.554768227603877e-05,3.2072502282747106e-05,4.568297413545793e-05,1.3057965852873196e-06
2.6749800578005897e-05,3.3581663310332485e-05,4.783249386493336e-05,1.367170651693673e-06
2.7965468030028617e-05,3.51078364509141e-05,5.000623699915096e-05,1.4292300826270285e-06
2.9193841692146275e-05,3.6649963506854834e-05,5.2202696187774895e-05,1.4919317117207806e-06
3.0434096374597586e-05,3.820700855571657e-05,5.4420395834619095e-05,1.5552333028446848e-06
3.1685424637820714e-05,3.97779579502603e-05,5.665789209764732e-05,1.6190935501048608e-06
3.294703679245327e-05,4.1361820318446084e-05,5.89137728889732e-05,1.6834720778437906e-06
3.4218160899332245e-05,4.295762656343305e-05,6.118665787486016e-05,1.7483294406403183e-06
3.5498042769494074e-05,4.4564429863579386e-05,6.347519847572136e-05,1.8136271233096504e-06
3.678594596417465e-05,4.618130567244237e-05,6.577807786611993e-05,1.8793275409033588e-06
3.808115179480924e-05,4.780735171877834e-05,6.809401097476869e-05,1.9453940387093746e-06
3.938297805694099e-05,4.9441711743562345e-05,7.042177761024369e-05,2.0117912533970987e-06
