E1,E2,E3,E4,P1,P2,P3,P4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.728826639411274e-08,2.7904068087455283e-08,3.475710769427021e-08,-6.5115366014785376e-09,3.135088137304559e-07,1.9508736765693608e-07,7.875688611353744e-08,2.5267825078985644e-07
6.897314111551012e-08,1.1083141777817203e-07,1.383597548668339e-07,-2.5388660587574028e-08,1.2416078056732315e-06,7.737630999270276e-07,3.1375116857229666e-07,1.000968140445749e-06
1.5471804919358013e-07,2.475779605895411e-07,3.09723213711941e-07,-5.571626395700896e-08,2.765943643822181e-06,1.7261443758338296e-06,7.028448091679531e-07,2.2304382515806858e-06
2.741253638541326e-07,4.36920423974859e-07,5.476911633261137e-07,-9.665074278521104e-08,4.8685258177945355e-06,3.042394484838102e-06,1.2436998903998102e-06,3.926904281044711e-06
4.2678043994310037e-07,6.776431664083835e-07,8.510950772811825e-07,-1.473839285192333e-07,7.531705470445736e-06,4.712808415989396e-06,1.9339340770341546e-06,6.0764369634858195e-06
6.122516139265399e-07,9.68538177385334e-07,1.2187542236242867e-06,-2.0714308797775415e-07,1.0738175397869419e-05,6.727812857926055e-06,2.771120616104255e-06,8.665362071349959e-06
8.300902038906305e-07,1.3084050774218916e-06,1.6494756648778737e-06,-2.751909233510775e-07,1.4470970049397429e-05,9.077966198875205e-06,3.7527883369103647e-06,1.1680260414881023e-05
1.0798305095416749e-06,1.696051118055198e-06,2.1420542580396963e-06,-3.5082557220113216e-07,1.871346552759982e-05,1.175395852665278e-05,4.876421651019713e-06,1.5107967842120869e-05
1.3609898122060984e-06,2.130291181843359e-06,2.6952726545828205e-06,-4.3338060746147277e-07,2.3449379588284835e-05,1.4746611628663502e-05,6.139460552266523e-06,1.8935575238909292e-05
1.6730683748304493e-06,2.6099477823654372e-06,3.3079013004556145e-06,-5.222250374372789e-07,2.8662771640498925e-05,1.8046878991900845e-05,7.539300616751989e-06,2.3150428528884046e-05
2.0155494419814013e-06,3.133851064221462e-06,3.978698436081762e-06,-6.167633058053561e-07,3.4338042746526766e-05,2.164584580294715e-05,9.07329300284429e-06,2.7740128673480842e-05
2.388085711551306e-06,3.700947689729454e-06,4.706659059474577e-06,-7.16276892980759e-07,4.0459759852404474e-05,2.5535049307290732e-05,1.0739399898453143e-05,3.269249903717663e-05
2.7902031922463258e-06,4.3101256258704345e-06,5.490618395231474e-06,-8.201731018038101e-07,4.701289259409814e-05,2.9705949554687085e-05,1.2535152244571211e-05,3.7995604737857526e-05
3.221191095675477e-06,4.9601495702817056e-06,6.329104699400127e-06,-9.280782720232549e-07,5.3982911908396816e-05,3.4149737677299997e-05,1.4457262317333571e-05,4.363776794291453e-05
3.6803503195898054e-06,5.649806717636643e-06,7.220671334550127e-06,-1.0396275245949276e-06,6.135556819833048e-05,3.885776875994524e-05,1.6502497461465317e-05,4.96075338830626e-05
4.166993447882382e-06,6.377906759644699e-06,8.163896769772959e-06,-1.154464761681748e-06,6.911689133316984e-05,4.382156184009055e-05,1.8667680090281514e-05,5.589367085234054e-05
4.680444750588304e-06,7.143281885051399e-06,9.157384580682e-06,-1.2722426666537238e-06,7.725319064842646e-05,4.903279990785563e-05,2.0949687685687206e-05,6.248517020811115e-05
5.220040183884704e-06,7.944786779638343e-06,1.0199763449412538e-05,-1.3926227040879512e-06,8.575105494585285e-05,5.4483329906012244e-05,2.334545279817742e-05,6.937124637106105e-05
5.7851273900907345e-06,8.78129862622321e-06,1.1289687164621743e-05,-1.5152751197686119e-06,9.459735249344227e-05,6.016516272998405e-05,2.585196304683713e-05,7.654133682520087e-05
6.375065697667581e-06,9.651717104659748e-06,1.2425834621488706e-05,-1.639878940686978e-06,0.00010377923102542886,6.607047322784672e-05,2.846626111934132e-05,8.398510211786515e-05
6.989226121218462e-06,1.0554964391837787e-05,1.3606909821714404e-05,-1.7661219750414073e-06,0.00011328411774228763,7.219160020032798e-05,3.118544477195496e-05,9.16924258597123e-05
7.626991361488614e-06,1.1489985161683217e-05,1.4831641873521698e-05,-1.8937008122373445e-06,0.00012309971931073437,7.852104640080742e-05,3.4006666829532916e-05,9.965341472472464e-05
8.287755805365305e-06,1.245574658515802e-05,1.6098784991655375e-05,-2.0223208228873234e-06,0.00013321402186372577,8.50514785353167e-05,3.692713518552011e-05,0.00010785839845020848
8.970925525877841e-06,1.3451238330260252e-05,1.740711849738211e-05,-2.1516961588109645e-06,0.00014361529100045942,9.177572726253952e-05,3.994411280195145e-05,0.0001162979298367941
