E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.4934474535281621e-07,4.4070073309167916e-08,1.6436877962847562e-06,-2.609057002194662e-07,1.0328231959762968e-05,6.286917424152502e-06,-7.563200140479869e-07,1.1529744139886442e-05,5.9845762275554144e-06,2.928857406855398e-06,1.0344796629454553e-06,9.452771673994621e-07,4.269131066635516e-06,-2.6048248960245254e-07,1.6469890327874497e-07,-2.1964933548117287e-08
-3.700987543514598e-07,2.96008758888854e-07,6.180734825205496e-06,-8.138938689606236e-07,3.749239501338111e-05,2.3146877205182914e-05,-1.978677127117163e-06,4.182646861014556e-05,2.1530109355191998e-05,1.0519073491045439e-05,3.7496788187239043e-06,3.4048065746191022e-06,1.5232562529690639e-05,-9.300913070278609e-07,6.381136304479152e-07,-7.068261567576879e-08
-5.000328145863182e-07,8.118668781923581e-07,1.2952023570405804e-05,-1.4520353487229597e-06,7.651546219363748e-05,4.7717479608136846e-05,-2.8337155164556457e-06,8.533584098395898e-05,4.364173647875592e-05,2.1295504900284378e-05,7.64431177059821e-06,6.898386554603315e-06,3.0622749162925806e-05,-1.912733958654007e-06,1.3602507377817196e-06,-1.3005911725093143e-07
-4.588005835092617e-07,1.5986945171220282e-06,2.1370548125028412e-05,-2.044591299377598e-06,0.00012339327583050293,7.760023109833265e-05,-2.856311969640704e-06,0.00013760181950971234,6.996424984518334e-05,3.410305600391886e-05,1.2316744070883348e-05,1.1044765433742103e-05,4.867297031361604e-05,-3.1459430211446393e-06,2.2706292803483053e-06,-1.895773310685878e-07
-2.5266079372518186e-07,2.6093406413369185e-06,3.0892889884064035e-05,-2.5371552609222753e-06,0.00017495121276282625,0.00011076002824734705,-1.9605423801866896e-06,0.00019510980895328227,9.87055277319176e-05,4.8069890861252785e-05,1.745087474307811e-05,1.5548039558692633e-05,6.805907226859524e-05,-4.6028496596345675e-06,3.3041746676813357e-06,-2.442489292438344e-07
6.493564635652118e-08,3.770291130723616e-06,4.104192014435801e-05,-2.9221918013785733e-06,0.0002287239409524189,0.00014552388504863157,-2.791328498288493e-07,0.00025514247628990376,0.0001285264598921434,6.254969914518515e-05,2.2802837207814335e-05,2.0183412051562944e-05,8.780914741701041e-05,-6.276629989903979e-06,4.398537139247487e-06,-2.925611292877624e-07
4.6035217022102647e-07,5.0299027542135806e-06,5.145789932101833e-05,-3.1905797824285827e-06,0.0002828273206669891,0.00018062746520037452,2.1055411118255278e-06,0.00031561887991012413,0.0001583972305703857,7.704468757881583e-05,2.818599460233951e-05,2.4780371624270053e-05,0.00010718335794761645,-8.154032107507423e-06,5.508095406844541e-06,-3.3312769974212266e-07
8.731466892264276e-07,6.323112212031331e-06,6.183905798475666e-05,-3.3622155375861727e-06,0.0003359018291565669,0.00021508974818700097,4.981827243316811e-06,0.00037504557443055625,0.00018761443841553538,9.121880388102302e-05,3.346686771232723e-05,2.9220290459169745e-05,0.0001256938576144615,-1.0233837881804532e-05,6.5912340174526296e-06,-3.6674866399777685e-07
1.2549767150278697e-06,7.598689808434739e-06,7.196093805561127e-05,-3.456539138306498e-06,0.00038697520967515085,0.00024819985172964656,8.168201216018084e-06,0.0004323536724666262,0.00021568181876738517,0.0001048355784088427,3.855014966324695e-05,3.342057170433113e-05,0.00014300752516356328,-1.2511489747491126e-05,7.617187028588655e-06,-3.943493442268959e-07
1.5806190789531066e-06,8.825962378688765e-06,8.166812594372361e-05,-3.4823919143285493e-06,0.0004353396309368857,0.0002794597465074973,1.1562768618924484e-05,0.00048676004357329757,0.00024222872015245816,0.00011771727001400355,4.3366101568906177e-05,3.732203007338709e-05,0.00015888170853532808,-1.4974768642441057e-05,8.566259300322546e-06,-4.1624070143034946e-07
1.8195536319620837e-06,9.974020554395039e-06,9.08480310219029e-05,-3.457996733120563e-06,0.0004805784395882253,0.00030854693950934937,1.5030497479699074e-05,0.0005378050797107396,0.00026705537702665657,0.0001297698949848241,4.787416932958743e-05,4.089339098880524e-05,0.0001732032663721569,-1.7614962573433258e-05,9.42332735587639e-06,-4.334897383070761e-07
1.94964708304407e-06,1.1021134321950803e-05,9.943540660259736e-05,-3.4003079638525773e-06,0.0005225040489432667,0.00033530103770734753,1.845993106485819e-05,0.0005852801436372068,0.00029008312124380206,0.0001409575483902955,5.205633871822591e-05,4.4124397237129685e-05,0.0001859483937961158,-2.0421427423003505e-05,1.0179965843194968e-05,-4.471697470544639e-07
1.9608136612839426e-06,1.195564342179029e-05,0.00010739118085722858,-3.3192592917318652e-06,0.0005610048299864818,0.00035963306016374344,2.178534826076243e-05,0.0006290574758356197,0.00031126342182354353,0.0001512577298512292,5.590176223240251e-05,4.701077137568393e-05,0.0001971122793155385,-2.3380133539435718e-05,1.0832226478603658e-05,-4.579072066028575e-07
1.8506900929318692e-06,1.2772698986088959e-05,0.00011469722533299635,-3.220654717455088e-06,0.0005960417152830461,0.00038151499454254186,2.4969930535259227e-05,0.000669087690522142,0.00033058053669213395,0.00016066308848440165,5.940656583882212e-05,4.9554193970637295e-05,0.00020671184306860212,-2.6475336407138474e-05,1.1379497669450023e-05,-4.6607713757865865e-07
1.6162755853199158e-06,1.3469050539639635e-05,0.00012136119540974448,-3.1137055377893487e-06,0.0006277329184741003,0.00040101785788603097,2.796850767766911e-05,0.0007054956954759176,0.00034810856752082566,0.00016921008028092968,6.25825672542839e-05,5.177109683350476e-05,0.00021483092985250557,-2.9692780431867168e-05,1.1824167058530294e-05,-4.7235008793808514e-07
1.2615608537694245e-06,1.4047771228623546e-05,0.0001274118405725993,-3.0041553544233636e-06,0.0006562753106670468,0.0004182761359172168,3.076143903732119e-05,0.0007384916673997101,0.00036395866936037155,0.0001769524645307757,6.544918842017396e-05,5.3684561920797514e-05,0.00022157868836043812,-3.301667267794138e-05,1.2171907204400346e-05,-4.771926180071417e-07
7.923025303245073e-07,1.4513178502597514e-05,0.00013287709707372557,-2.895777320292828e-06,0.0006818454881309355,0.0004334146626997831,3.333900509207122e-05,0.0007682633221110577,0.0003782283336078271,0.00018393715791983388,6.802377698427177e-05,5.531516495643389e-05,0.0002270516138494095,-3.643163212911298e-05,1.2428362947531872e-05,-4.809293166523325e-07
