E1,E2,E3,E4,P1,P2,P3,P4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4673348420577535e-08,5.6207868493183955e-08,6.985965617720906e-08,-1.3349943382061739e-08,6.332861128785426e-07,3.9350986878270766e-07,1.5817885315137755e-07,5.102750581960246e-07
1.0373900006198543e-07,1.6742548449763253e-07,2.0855255925085544e-07,-3.905596782562136e-08,1.8809623098811297e-06,1.1704998922116152e-06,4.725704776662049e-07,1.5160045482210457e-06
2.0687758603160183e-07,3.324498820644644e-07,4.1501162168535803e-07,-7.617769668895507e-08,3.7244936626054653e-06,2.3210351065933554e-06,9.410894905352815e-07,3.0026260844588776e-06
3.4373434280322964e-07,5.500749539064782e-07,6.881329864184607e-07,-1.238257430423214e-07,6.145703455276299e-06,3.835280274640737e-06,1.5615414984533852e-06,4.955834917300515e-06
5.139218914893597e-07,8.190930511711353e-07,1.0267797271820391e-06,-1.811593212672964e-07,9.126770134605534e-06,5.7035044572635535e-06,2.331632850888248e-06,7.3615831219858515e-06
7.170228739549984e-07,1.1382964842382373e-06,1.429785349708175e-06,-2.473839618081031e-07,1.2650224109696938e-05,7.9160852014412e-06,3.2489798791402116e-06,1.020607859408042e-05
9.525924521282824e-07,1.5064789292161692e-06,1.8959571027323508e-06,-3.217493248361708e-07,1.669894441384372e-05,1.0463512363561102e-05,4.311117644262788e-06,1.3475783864031395e-05
1.2201606766005708e-06,1.9224367446123674e-06,2.4240791073397694e-06,-4.0354710875777984e-07,2.1256155239482132e-05,1.3336391586771536e-05,5.515508215775865e-06,1.7157414742666793e-05
1.5192347303565718e-06,2.3849702024634225e-06,3.012915312849176e-06,-4.921090496567097e-07,2.6305422357004266e-05,1.652544745009553e-05,6.859548502201563e-06,2.123793880894549e-05
1.8493010532329528e-06,2.892884638027613e-06,3.6612122870907706e-06,-5.868050079195688e-07,3.183064942759727e-05,2.0021526306282505e-05,8.340577653586341e-06,2.5704573750732546e-05
2.209827352471393e-06,3.444991521967437e-06,4.3677018486101835e-06,-6.870411384411714e-07,3.7816074219763045e-05,2.3815598824635476e-05,9.955884055340701e-06,3.054478556886338e-05
2.6002645045088117e-06,4.040109458781481e-06,5.131103548018615e-06,-7.922581409511964e-07,4.424626473868183e-05,2.7898762254342016e-05,1.1702711931928135e-05,3.5746286654270714e-05
3.0200483529331473e-06,4.677065115083602e-06,5.950127005409655e-06,-9.019295871416035e-07,5.110611527711347e-05,3.2262242423156836e-05,1.3578267578166907e-05,4.129703374747918e-05
3.468601407327293e-06,5.354694081172505e-06,6.823474110475439e-06,-1.015560321407143e-06,5.8380842396080734e-05,3.6897395485630006e-05,1.557972523517043e-05,4.718522578932296e-05
3.945334447526222e-06,6.071841669186191e-06,7.749841091678342e-06,-1.1326849321389574e-06,6.605598084314964e-05,4.179570943444833e-05,1.7704232627243137e-05,5.339930167131156e-05
4.449648037622624e-06,6.8273636509932e-06,8.727920460568805e-06,-1.2528662906339557e-06,7.411737941571062e-05,4.694880538785563e-05,1.9948916175368395e-05,5.992793789365646e-05
