E3b,PV3b,SST3b,VIP3b,E1,PV1,SST1,VIP1,E2,PV2,SST2,E3,PV3,SST3,E4,PV4,SST4,E1S2,PV1S2,SST1S2,VIP1S2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,B,Ext
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,571.71583,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,35.69699,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.3520000000000003,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,84.97275,-24.39,-20.720000000000002,-3.655,91.08,-1.7,-2.16,6.57,-0.109,-1.575,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,41.09806400000001,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,361.45125,-28.62,-8.732000000000001,-4.675,7.948799999999999,-1.445,-1.536,0.27375,-0.109,-1.4699999999999998,0.0644,-0.0056,-0.396,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.1873600000000004,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,205.4565,-26.190000000000005,-0.0,-23.035,3.3120000000000003,-1.02,-2.112,0.16424999999999998,-0.109,-2.205,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,67.64,-18.540000000000003,-34.262,-5.355,0.9935999999999999,-0.85,-0.8160000000000001,0.05475,-0.109,-0.63,0.0,-0.0112,-0.33,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,10.9915,-3.1500000000000004,-4.3660000000000005,-5.95,260.67096000000004,-31.79,-9.504000000000001,3.285,-3.0519999999999996,-5.460000000000001,0.0,-0.112,-1.584,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,259.66080000000005,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,30.438000000000002,-1.44,-1.702,-4.505,929.0159999999998,-24.480000000000004,-17.424,4.9275,-3.0519999999999996,-4.935,0.644,-0.168,-1.1880000000000002,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,13.328000000000001,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,30.438000000000002,-1.62,-1.776,-4.165,157.32,-28.220000000000002,-0.10944,4.9275,-3.488,-4.935,1.288,-0.112,-1.518,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.8816000000000004,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,72.713,-3.7800000000000002,-6.956,-5.2700000000000005,86.44319999999999,-6.545000000000001,-1.38624,85.84800000000001,-43.164,-15.854999999999999,6.44,-1.008,-3.3659999999999997,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,111.17316,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,7.186750000000001,-0.45,-0.8140000000000001,-1.615,14.490000000000002,-2.55,-1.104,108.405,-26.814000000000004,-25.305000000000003,1.288,-0.7280000000000001,-1.7160000000000002,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,11.066552000000001,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,6.764,-0.36,-0.74,-1.615,15.732,-2.55,-1.2000000000000002,56.118750000000006,-33.899,-0.63,1.932,-0.28,-2.112,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.18,-0.222,-0.68,14.4072,-1.275,-0.48,21.900000000000002,-2.0709999999999997,-1.7850000000000001,20.286,-44.352000000000004,-9.966,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,45.44064,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,1.26825,-0.009000000000000001,-0.0148,-0.17,2.07,-0.17,-0.024,17.52,-0.0,-0.315,510.048,-13.776000000000002,-15.906,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.9756799999999999,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.8455,-0.0,-0.0148,-0.085,2.07,-0.17,-0.019200000000000002,4.10625,-0.0,-0.21,66.01,-34.832,-0.396,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,84.97275,-24.39,-20.720000000000002,-3.655,68.31,-1.7,-2.16,8.2125,-0.109,-1.575,0.0,-0.0,-0.0,8.219612800000002,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,361.45125,-28.62,-8.732000000000001,-4.675,5.9616,-1.445,-1.536,0.34218750000000003,-0.109,-1.4699999999999998,0.0644,-0.0056,-0.396,0.4374720000000001,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,205.4565,-26.190000000000005,-0.0,-23.035,2.484,-1.02,-2.112,0.20531249999999998,-0.109,-2.205,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,67.64,-18.540000000000003,-34.262,-5.355,0.7452,-0.85,-0.8160000000000001,0.0684375,-0.109,-0.63,0.0,-0.0112,-0.33,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,10.9915,-3.1500000000000004,-4.3660000000000005,-5.95,195.50322000000003,-31.79,-9.504000000000001,4.10625,-3.0519999999999996,-5.460000000000001,0.0,-0.112,-1.584,51.93216000000001,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,30.438000000000002,-1.44,-1.702,-4.505,696.762,-24.480000000000004,-17.424,6.159375000000001,-3.0519999999999996,-4.935,0.644,-0.168,-1.1880000000000002,2.6656000000000004,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,30.438000000000002,-1.62,-1.776,-4.165,117.99,-28.220000000000002,-0.10944,6.159375000000001,-3.488,-4.935,1.288,-0.112,-1.518,0.3763200000000001,-0.0,1.0,0.0
