PC,IIN,EIN
-0.0024661093620195326,2.3731378340910302e-06,9.492551336364121e-06
-0.002465813275009434,2.3968692124319406e-06,9.587476849727763e-06
-0.0024652803183912563,2.439585693445579e-06,9.758342773782317e-06
-0.0024645607973404816,2.4972607450826984e-06,9.989042980330794e-06
-0.0024636973011490644,2.5664895356961846e-06,1.0265958142784738e-05
-0.0024627257484984284,2.6444035381302025e-06,1.057761415252081e-05
-0.0024616763000401415,2.728596199290533e-06,1.0914384797162132e-05
-0.002460574154480208,2.8170582878239014e-06,1.1268233151295606e-05
-0.0024594402424360615,2.908121703227617e-06,1.1632486812910468e-05
-0.0024582918306337866,3.0004106795717836e-06,1.2001642718287135e-05
-0.00245714304751088,3.092799448599324e-06,1.2371197794397296e-05
-0.0024560053399638247,3.1843755425075955e-06,1.2737502170030382e-05
-0.002454887869809536,3.274408018164461e-06,1.3097632072657845e-05
-0.0024537978574972422,3.362319973584484e-06,1.3449279894337936e-05
-0.002452740879696621,3.4476648056898086e-06,1.3790659222759234e-05
-0.002451721126584863,3.5301057270239045e-06,1.4120422908095618e-05
-0.0024507416239472834,3.6093981193325538e-06,1.4437592477330215e-05
-0.0024498044245820157,3.6853743547925834e-06,1.4741497419170334e-05
-0.0024489107729495038,3.757930762048971e-06,1.5031723048195883e-05
-0.0024480612465231566,3.827016454901084e-06,1.5308065819604337e-05
-0.0024472558768711015,3.89262377715017e-06,1.557049510860068e-05
-0.002446494253123588,3.954780148390583e-06,1.5819120593562333e-05
-0.002445775610150333,4.013541122931321e-06,1.6054164491725283e-05
-0.0024450989034815775,4.068984498042352e-06,1.627593799216941e-05
-0.002444462872751254,4.1212053287457095e-06,1.6484821314982838e-05
-0.0024438660952161746,4.1703117247779865e-06,1.6681246899111946e-05
-0.00244330703070802,4.21642132145878e-06,1.686568528583512e-05
-0.0024427840592017762,4.259658330289992e-06,1.703863332115997e-05
-0.0024422955120323537,4.300151087431152e-06,1.7200604349724607e-05
-0.002441839697657863,4.338030028963482e-06,1.7352120115853928e-05
-0.002441414922751218,4.373426031261479e-06,1.7493704125045915e-05
-0.0024410195092993787,4.4064690630032325e-06,1.762587625201293e-05
-0.0024406518082999364,4.437287102517268e-06,1.774914841006907e-05
-0.0024403102105663263,4.466005280413885e-06,1.786402112165554e-05
-0.00243999315508438,4.492745212896805e-06,1.797098085158722e-05
-0.0024396991353030097,4.517624495896253e-06,1.8070497983585013e-05
-0.002439426703689505,4.540756334295315e-06,1.816302533718126e-05
-0.002439174474834269,4.5622492841143975e-06,1.824899713645759e-05
-0.0024389411273500416,4.582207088641623e-06,1.832882835456649e-05
-0.002438725404776004,4.6007285922090564e-06,1.8402914368836226e-05
-0.0024385261156670162,4.617907717668042e-06,1.847163087067217e-05
-0.002438342133022035,4.633833495656889e-06,1.8535333982627556e-05
-0.0024381723931830236,4.648590135520822e-06,1.859436054208329e-05
-0.002438015894315935,4.6622571292723466e-06,1.8649028517089386e-05
-0.0024378716945682786,4.674909381300636e-06,1.8699637525202543e-05
-0.002437738909983019,4.686617357678014e-06,1.8746469430712055e-05
-0.002437616712235794,4.697447249893525e-06,1.87897889995741e-05
-0.0024375043262514703,4.7074611486884865e-06,1.8829844594753946e-05
-0.002437401027746581,4.7167172243946935e-06,1.8866868897578774e-05
-0.0024373061407360875,4.725269910798302e-06,1.890107964319321e-05
-0.0024372190350359403,4.733170090085022e-06,1.893268036034009e-05
-0.002437139123786989,4.740465276877022e-06,1.8961861107508087e-05
-0.002437065861020694,4.7471997997593835e-06,1.8988799199037534e-05
-0.002436998739282818,4.753414979023039e-06,1.9013659916092155e-05
-0.0024369372873276032,4.759149299629882e-06,1.9036597198519527e-05
-0.0024368810678918828,4.7644385786410104e-06,1.9057754314564042e-05
-0.0024368296755559616,4.769316126546884e-06,1.9077264506187536e-05
-0.0024367827346959705,4.7738129021037306e-06,1.9095251608414922e-05
-0.0024367398975305766,4.777957660418439e-06,1.9111830641673757e-05
-0.002436700842263455,4.7817770941382635e-06,1.9127108376553054e-05
-0.0024366652713217214,4.785295967695465e-06,1.914118387078186e-05
-0.00243663290968951,4.788537244633439e-06,1.9154148978533757e-05
-0.0024366035033351347,4.7915222081024875e-06,1.916608883240995e-05
-0.0024365768177295917,4.794270574662435e-06,1.917708229864974e-05
-0.002436552636453731,4.796800601567702e-06,1.918720240627081e-05
-0.0024365307598910183,4.799129187739814e-06,1.9196516750959257e-05
-0.0024365110040025593,4.801271968654181e-06,1.9205087874616726e-05
-0.002436493199180888,4.803243405383449e-06,1.9212973621533796e-05
-0.00243647718917888,4.805056868049954e-06,1.9220227472199818e-05
-0.0024364628301101207,4.80672471394564e-06,1.922689885578256e-05
