G/g_definition/g_input,E3b,PV3b,SST3b,VIP3b,E1S1,PV1S1,SST1S1,VIPS1,E2S1,PV2S1,SST2S1,E3S1,PV3S1,SST3S1,E4S1,PV4S1,SST4S1,E1S2,PV1S2,SST1S2,VIPS2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,stability,bifurcation
1.3797742469,1.9815238946745,2.3895290144705,1.3395503850364,1.086257839742,1.781166663659439,2.903833547510108,1.8805524153941389,0.8836085386096779,2.57103285637336,6.540564674494919,2.13547162634956,2.1997920963427,1.58959453931726,1.52080976465241,1.3085027078852098,3.637575049286644,1.52100099784539,1.5853877627300461,2.8139052127860023,1.8500922311134458,0.875376356343589,1.9162405886582399,4.68247310951195,1.8134215180555397,2.0112048393245,1.5644603909669001,1.5619957311375299,1.26406247834392,3.595566516884835,1.52065255509909,0.0,0.0,stable,RG
2.6222301275,2.113982619627,2.902045559368,1.399823471385,0.9864146009585,2.48534258482551,4.7133801049253705,2.6776719126267103,0.5842591632466088,3.9708770067084895,12.963558352413244,3.16116332572419,3.2673938328350003,1.9518972930666998,1.9146434950726599,1.37385093818211,5.831839974852056,1.80103647454438,1.9948222791863799,4.421928205925813,2.53870500544068,0.553518490013975,2.64030670439519,8.399132775069098,2.4408397716903902,2.8980444382484,2.00663321267346,1.9764229050762698,1.31462587545944,5.781399106429145,1.79672109317382,0.0,0.0,stable,RG
3.600778771,2.22409536271,3.320939746564,1.451604089949,0.9095384207659999,3.2506937045981106,6.503025917461915,3.5159322742637107,0.3291815849456189,5.190545704752329,19.644524997546704,3.9660949221670307,4.4093007307988,2.4168368787652,2.3305979681374005,1.4420425920537898,7.620775424448093,2.01154426010726,2.38079335258484,5.838066871676697,3.17372431081294,0.27138707008321317,3.2895597468865496,11.879856443113752,2.98224402988875,3.7830477219102,2.5124892062011,2.3968430073888998,1.36007710130848,7.542756060024654,2.00024292691083,0.0,0.0,stable,RG
4.5968027867,2.3418483894069997,3.762478612032,1.508470680785,0.832921212507,3.8853655507629803,8.466744434707334,4.46149045812368,-0.0013711407362178019,5.49603179174086,24.9204519955647,4.046627399097759,5.484386880037899,2.9726253084426,2.773133726102,1.4575035340745,9.421827127677895,2.19082647184043,2.8237830469287504,7.442359836485588,3.9200251235845496,-0.056716183373275886,3.9174064053114197,15.828067445186603,3.4896689811851216,4.908777140814999,3.2553694440058,2.9549970880154,1.4138335935192998,9.391512409674599,2.18749102213733,0.0,0.0,stable,RG
5.8024745179,2.4927066666349997,4.319528428848,1.583319029513,0.7424438038929999,4.182250616272831,10.557450922631778,5.470017352122128,-0.5392633443943704,4.7895461029389015,27.6449189884489,3.4425546384243004,6.449926443701999,3.6719649820219002,3.2986904605527005,1.3669493108181998,11.45237937906706,2.331689638447,3.300070531661209,9.495010511263194,4.8996628151548105,-0.5461673532820306,4.244211253963901,20.068982097012,3.7664609235221,6.575867664470001,4.6114402100298,3.8799052024641005,1.4793413225190999,11.72346751302063,2.3664882201622,0.0,0.0,stable,RG
7.0857602315,2.6642879675999995,4.942820733748,1.6708141449529998,0.648969686948,4.16536065062126,12.367231155830368,6.334382731434159,-1.2552148667870402,3.743277929845,28.6379360137245,2.6783133433200006,7.396819725293,4.5761947358782,3.9526990602128,1.1886479922947,13.43411579657262,2.3824443830103004,3.6135159223129296,11.574365962041284,5.8971768314483315,-1.2094494956225803,3.907852947031099,22.739052959819404,3.6097863121561,9.242462107134,7.432593632416503,5.6268218533186,1.6341379680435004,14.595517598109831,2.4707423347462,0.0,0.0,stable,RG
7.3755290554,2.704730815864,5.08831411333,1.691763375538,0.6282796224459999,4.131720128705799,12.7180835598869,6.4998761629723,-1.4337011960116197,3.5037176849878007,28.7352431142742,2.512126729908701,7.625222490698999,4.8207861144590005,4.125434007638999,1.1405339848520002,13.85933157128776,2.3788334635235,3.7923446991192993,12.200731730456999,6.198990474959701,-1.3817873840126096,3.7562999048109997,23.1189396300554,3.5881595397300003,11.459910770316998,10.1397587293178,7.1626586783022,1.9597417734242994,16.11671187075938,2.5016730321719995,0.0,0.0,stable,LP
7.1952731492,2.6794960096129996,4.997591631888,1.678678116641,0.6411318986669998,4.153668190304149,12.50223251977808,6.398171845457651,-1.3220297866314008,3.6525605385555995,28.678575575286303,2.6150601009012995,7.481934757823999,4.6663386270311005,4.0165653974739,1.1707156961885,13.59561812523137,2.3817520023574,4.0104247764244,12.26446113325743,6.235659963301801,-1.2762971795171605,3.820222482186799,22.910906654032797,3.7163213135137996,13.601583856771,12.921425664269702,8.6348876873764,2.4468067599462997,17.151830584578118,2.5577033151085,0.0,0.0,unstable,RG
6.3830452456,2.568853862052,4.597399630148,1.6218605803889998,0.6997867737799999,4.20556596770143,11.429010019019321,5.88801875483073,-0.8468411282155899,4.325276208489899,28.236353170926304,3.0943945188757,6.873025356659999,4.051642057019801,3.5763199956428,1.2944900475087997,12.37063819090536,2.3678475897895,4.443505383383299,11.699275982502169,5.9804976566767,-0.8043055706727802,4.0987330681617,21.669234428304602,4.0672393533047995,17.620248776403002,18.5294683816741,11.351775064545201,3.632331183422699,18.70223660906331,2.7365178403473003,0.0,0.0,unstable,RG
5.6722613252,2.475950041032,4.258095972597999,1.574903349792,0.75209336065,4.16831219138192,10.34987001220118,5.37014903880332,-0.47436218136156016,4.888293654747,27.4665415192277,3.519252309820499,6.353797357256,3.5918074074411006,3.2394733218722003,1.3809875472634998,11.2412216125308,2.3206861214638,4.7823453763258,11.0417216534413,5.6782557209682,-0.4167625119146201,4.1919958437868,20.061794507551696,4.265918792556199,21.05698980222,23.834971086729297,13.6071174801922,4.771981044927201,20.16486683289648,2.9100867968194004,0.0,0.0,unstable,RG
