BR,PT,TY,LAB,G/g_definition/g_input,L2_NORM,stable_dims,stability
1,1,9,1,0.0,6.6511869372,,unknown
1,2,0,0,0.0019999674432,6.6511869052,,unknown
1,3,0,0,0.0039999991323,6.6511868637,,unknown
1,4,0,0,0.0080000055481,6.6511868055,,unknown
1,5,0,0,0.016000002579,6.6511867581,,unknown
1,6,0,0,0.032000008511,6.6511867374,,unknown
1,7,0,0,0.064000012729,6.6511867328,,unknown
1,8,0,0,0.12800001917,6.6511867323,,unknown
1,9,0,0,0.22800002917,6.6511867323,,unknown
1,10,0,0,0.32800003917,6.6511867323,,unknown
1,11,0,0,0.42800004917,6.6511867323,,unknown
1,12,0,0,0.52800005917,6.6511867323,,unknown
1,13,0,0,0.62800006917,6.6511867323,,unknown
1,14,0,0,0.72800007917,6.6511867323,,unknown
1,15,0,0,0.82800008917,6.6511867323,,unknown
1,16,0,0,0.92800009917,6.6511867323,,unknown
1,17,0,0,1.0280001092,6.6511867323,,unknown
1,18,0,0,1.1280001192,6.6511867323,,unknown
1,19,0,0,1.2280001292,6.6511867323,,unknown
1,20,4,2,1.3280001392,6.6511867323,,unknown
1,21,0,0,1.4280001492,6.6511867323,,unknown
1,22,0,0,1.5280001592,6.6511867323,,unknown
1,23,0,0,1.6280001692,6.6511867323,,unknown
1,24,0,0,1.7280001792,6.6511867323,,unknown
1,25,0,0,1.8280001892,6.6511867323,,unknown
1,26,0,0,1.9280001992,6.6511867323,,unknown
1,27,0,0,2.0280002092,6.6511867323,,unknown
1,28,0,0,2.1280002192,6.6511867323,,unknown
1,29,0,0,2.2280002292,6.6511867323,,unknown
