background_input/bI_definition/backgrndI_strengths,E3b,PV3b,SST3b,VIP3b,thalE,thalI,stability,bifurcation
-0.00071968775234,1.3377187741524224,26.18116290015242,-2.1603981578375797,-6.61554244582758,0.0,0.0,True,RG
-0.0014912202218,1.337685304009561,26.180972605809554,-2.1604363997204397,-6.615641975570441,0.0,0.0,True,RG
-0.0022627513878,1.3376518323577515,26.18078230845775,-2.16047464199225,-6.6157415055222515,0.0,0.0,True,RG
-0.0030342812503,1.337618359297002,26.180592005896997,-2.1605128844430004,-6.615841035283001,0.0,0.0,True,RG
-0.0038058098091,1.3375848855273005,26.180401700327298,-2.1605511281826986,-6.615940565252701,0.0,0.0,True,RG
-0.0045773370641,1.3375514103488007,26.1802113893488,-2.1605893721912013,-6.616040095231201,0.0,0.0,True,RG
-0.0053488630153,1.3375179335613987,26.1800210744614,-2.1606276163886,-6.616139625418599,0.0,0.0,True,RG
-0.0061203876626,1.3374844562652022,26.179830755365195,-2.1606658619648007,-6.6162391553148,0.0,0.0,True,RG
-0.0068919110059,1.3374509773602001,26.179640432260204,-2.1607041076297997,-6.6163386856198,0.0,0.0,True,RG
-0.0076634330451,1.3374174968464996,26.1794501038465,-2.1607423546635003,-6.6164382157335,0.0,0.0,True,RG
-0.0084349537801,1.3373840159240011,26.179259772324,-2.1607806019860014,-6.616537745955999,0.0,0.0,True,RG
-0.0092064732108,1.3373505334926987,26.179069435592698,-2.1608188494873004,-6.6166372760873005,0.0,0.0,True,RG
-0.0099779913371,1.3373170494528013,26.1788790956528,-2.1608570983671997,-6.616736806427199,0.0,0.0,True,RG
-0.010749508159,1.3372835648041985,26.1786887508042,-2.160895348435799,-6.616836336675799,0.0,0.0,True,RG
-0.011521023676,1.3372500778469991,26.178498401647005,-2.1609335977729995,-6.616935866933,0.0,0.0,True,RG
-0.012292537889,1.3372165910812015,26.178308048581197,-2.1609718483987996,-6.6170353973988005,0.0,0.0,True,RG
-0.013064050797,1.337183102906802,26.178117690106795,-2.161010100313201,-6.617134927773201,0.0,0.0,True,RG
-0.0138355624,1.337149612223798,26.177927328523797,-2.161048352396199,-6.6172344582562,0.0,0.0,True,RG
-0.014607072699,1.3371161220323,26.177736962932293,-2.1610866048677004,-6.617333988647699,0.0,0.0,True,RG
-0.015378581692,1.3370826291323,26.1775465921323,-2.1611248584177,-6.6174335193477,0.0,0.0,True,RG
-0.01615008938,1.3370491358238,26.1773562171238,-2.1611631123462,-6.617533049856201,0.0,0.0,True,RG
-0.016921595763,1.3370156409068998,26.177165838106905,-2.1612013675531005,-6.617632580373099,0.0,0.0,True,RG
-0.017693100841,1.3369821454814994,26.176975454781502,-2.1612396229484987,-6.6177321109984995,0.0,0.0,True,RG
-0.018464604614,1.3369486484477984,26.1767850675478,-2.1612778787222,-6.6178316418322,0.0,0.0,True,RG
-0.019236107081,1.3369151500055994,26.176594675905598,-2.161316135674401,-6.6179311724744,0.0,0.0,True,RG
-0.020007608242,1.3368816499552023,26.176404279255195,-2.1613543929047996,-6.618030703224799,0.0,0.0,True,RG
-0.020779108098,1.3368481493964015,26.176213879396403,-2.1613926504235996,-6.6181302340836,0.0,0.0,True,RG
