E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4020662723993542e-06,2.6303902692408708e-06,3.400311753407257e-06,-7.111465411865906e-07,3.1364601248977885e-05,1.8699284240792834e-05,7.672790240332425e-06,2.532883714718179e-05,1.3423549467635837e-05,6.610703681208382e-06,2.611289484051253e-06,2.1853814417966355e-06,1.0067036355934719e-05,-1.2586099929066788e-06,3.250178595159296e-06,-3.826041136259827e-07
4.100639014442017e-06,7.310110632304815e-06,9.696997725381178e-06,-1.6315426319846306e-06,8.467631282852945e-05,5.118074270117918e-05,2.2059566002764084e-05,6.859509732223528e-05,3.5824886625458234e-05,1.7558637914502346e-05,7.020622198908681e-06,5.872429390924623e-06,2.6720883081213384e-05,-3.4541096143954496e-06,8.716260518581348e-06,-1.0778489274003486e-06
7.799557623085281e-06,1.3434987738160872e-05,1.8184967228624444e-05,-2.524155040541856e-06,0.00015232098496410884,9.299653034958334e-05,4.1610880236941025e-05,0.000123704079526695,6.379937526317037e-05,3.113223348304784e-05,1.2574150738806447e-05,1.051137064514269e-05,4.733315684260688e-05,-6.412212121937663e-06,1.55637632529695e-05,-2.0368371592448793e-06
1.2154511427276948e-05,2.0460058618333983e-05,2.815001327322707e-05,-3.294864620693543e-06,0.00022833827322324995,0.0001404113178360224,6.469217438182691e-05,0.00018581931181752397,9.478926858927623e-05,4.6063893516194847e-05,1.8763014452468695e-05,1.5674299500171374e-05,6.99520691512889e-05,-1.0035385629921909e-05,2.314256554273967e-05,-3.223246985513816e-06
1.684352895245562e-05,2.7932127802917063e-05,3.895904982418143e-05,-3.9224500056529565e-06,0.0003081966258349428,0.00019044854178257276,8.982688812557474e-05,0.0002512268557806833,0.0001269134770361448,6.143318009811336e-05,2.520294942646069e-05,2.103811763148948e-05,9.315713080681737e-05,-1.4263229164507927e-05,3.0962258400787895e-05,-4.6083475171586305e-06
2.1596932450993542e-05,3.549566400142478e-05,5.009368258008633e-05,-4.419454289483715e-06,0.00038855110589732265,0.0002408378341586665,0.00011579266728410153,0.000317164212977512,0.00015882336959851411,7.658839439035956e-05,3.1612752940858155e-05,2.636650017862026e-05,0.00011594059553790838,-1.9051143817179145e-05,3.866516601911005e-05,-6.168112932035504e-06
2.620542539460285e-05,4.2885512209331265e-05,6.115384910237895e-05,-4.811134493219641e-06,0.00046701407874653395,0.00028991986326404274,0.0001416392249113239,0.00038164710579720844,0.00018958352075151825,9.108374259688095e-05,3.7794073920456085e-05,3.149294847427369e-05,0.00013761193393564892,-2.4359554843098154e-05,4.600060912693517e-05,-7.881577179545458e-06
3.0517186652929084e-05,4.99140608405728e-05,7.184701949534354e-05,-5.124788117909738e-06,0.0005419523788442576,0.0003365395346454224,0.0001666676920177593,0.00044331058960677864,0.00021857484625497614,0.0001046294538890466,4.361363065624529e-05,3.630585404667786e-05,0.00015772166442139533,-3.0149043664937347e-05,5.280205413074102e-05,-9.729910844799959e-06
3.443013656425097e-05,5.645701623366218e-05,8.197165847894572e-05,-5.3848745965388236e-06,0.0006123153664713234,0.0003799435274049424,0.00019039393649736253,0.0005012713157883852,0.000245417042091098,0.00011705250669562088,4.8988190042053674e-05,4.07358605062089e-05,0.00017600116936208513,-3.637865244576296e-05,5.896770575415374e-05,-1.1695910351636187e-05
3.788273493105518e-05,6.243989150998898e-05,9.139961168190205e-05,-5.611248681218538e-06,0.0006774933960725171,0.00041968948558248004,0.00021250799170624739,0.0005550124641278723,0.00026990722258295354,0.00012826594671122397,5.387223700379524e-05,4.474547091087291e-05,0.0001923155368307879,-4.30057800959577e-05,6.444452107926933e-05,-1.3763716792256443e-05
4.084502988420337e-05,6.782614730171561e-05,0.00010005972603900653,-5.8189662003220935e-06,0.000737203858999957,0.0004555693507422443,0.00023283569862904424,0.0006042901360404683,0.00029197189187091276,0.00013824510046158128,5.824806919994583e-05,4.832068503957262e-05,0.0002066269052920341,-4.9986782220282436e-05,6.921534022327733e-05,-1.5918658422745588e-05
4.3310740061797824e-05,7.260727762477227e-05,0.0001079236813107062,-6.0188026460461925e-06,0.0007914010438734441,0.0004875467643598881,0.00025130523263483957,0.0006490587653396208,0.00031162973011331774,0.00014700928100636426,6.211797903145106e-05,5.146438823285061e-05,0.00021896620409941542,-5.7277797258581155e-05,7.328871585986441e-05,-1.8147156700350413e-05
4.52906370089548e-05,7.679479959024654e-05,0.00011499428565061074,-6.218023311262605e-06,0.0008402059220480991,0.000515707237665004,0.00026791930906514667,0.0006894127041911015,0.00032896304995353023,0.00015460783873546933,6.549817741458849e-05,5.4191205493924296e-05,0.000229411555764558,-6.483555827338631e-05,7.669100354530462e-05,-2.043666274132744e-05
4.680722645072448e-05,8.041394949358829e-05,0.00012129612063331325,-6.4211722873339e-06,0.000883852226235456,0.00054021930585909,0.0002827328983474535,0.000725541186292816,0.0003440961368971095,0.0001611096286386748,6.841413904540781e-05,5.6523554326144916e-05,0.00023807192897224396,-7.261808340479608e-05,7.946030181251206e-05,-2.2775606711527533e-05
4.789060081382573e-05,8.349883115222264e-05,0.0001268682572094748,-6.630775289480714e-06,0.000922645623834272,0.0005613048082070276,0.0002958358407017217,0.0007576941275941997,0.0003571790090599481,0.00016659514799043584,7.089708823430694e-05,5.848866166466703e-05,0.0002450749043087298,-8.058521026242865e-05,8.16418789486185e-05,-2.5153351507265885e-05
4.857528799088097e-05,8.608875841615307e-05,0.00013175871206594844,-6.847919792055969e-06,0.0009569332689335963,0.0005792165629262452,0.00030733959891979116,0.0007861565665075118,0.0003683754100541278,0.0001711507488724905,7.298138739687086e-05,6.011634551184808e-05,0.00025055764147414826,-8.869897619368066e-05,8.32847776090128e-05,-2.756014693231842e-05
4.889791565437252e-05,8.82255554210569e-05,0.0001360203199237447,-7.072710509261258e-06,0.0009870814832698244,0.0005942219203293861,0.00031736738730648814,0.0008112298995847476,0.0003778540833861509,0.00017486445270424033,7.470263152150224e-05,6.143739591774928e-05,0.00025466032282271293,-9.6923862932239e-05,8.44393412198641e-05,-2.9987083112815335e-05
4.88955249589596e-05,8.995161010041025e-05,0.00013970773041323614,-7.304613832072231e-06,0.0010134597360703726,0.0006065909156839857,0.0003260469862421368,0.0008332183991826002,0.00038578257098812184,0.00017782299326684535,7.609628886998533e-05,6.248242058982461e-05,0.0002575214992745495,-0.00010522692976197729,8.515545380959603e-05,-3.242604312115085e-05
4.8604390183083364e-05,9.130851047827032e-05,0.0001428752810939716,-7.542710213969527e-06,0.0010364294545417844,0.0006165879718885223,0.0003335056506213084,0.0008524197910729593,0.00039232293721637126,0.0001801097945446724,7.719675991704393e-05,6.328104687337137e-05,0.000259274886584011,-0.00011357785936290708,8.548132610912583e-05,-3.486965529498242e-05
4.8059225303531584e-05,9.233612519598718e-05,0.00014557554183850722,-7.785873735063004e-06,0.0010563365000589658,0.0006244663062403925,0.000339866623069013,0.0008691189178501464,0.0003976289480299057,0.00018180365354424798,7.803675309163424e-05,6.386139406362082e-05,0.0002600472576943371,-0.00012194893796192717,8.546269533259862e-05,-3.731124588044841e-05
4.729268146142725e-05,9.307201779172911e-05,0.00014785836578263203,-8.032895990094568e-06,0.001073506394374097,0.000630464370105894,0.0003452468577940588,0.0008835837197757692,0.0004018443380747023,0.00018297794905968457,7.864689767151236e-05,6.424974830980763e-05,0.0002599571548579453,-0.00013031498794499027,8.514233447632971e-05,-3.97447925933027e-05
4.6335059387460366e-05,9.3551107938632e-05,0.00014977031660507129,-8.282568559140113e-06,0.0010882415820536915,0.0006348037952551104,0.0003497556434458943,0.0008960629325809014,0.0004051018805205116,0.00018370023762890765,7.905553180647091e-05,6.447038722694032e-05,0.0002591142070876241,-0.00013865326755321166,8.455978999932037e-05,-4.216487958336859e-05
4.5214177723827325e-05,9.380551230133757e-05,0.0001513543707005626,-8.533735398318794e-06,0.0011008201770533364,0.0006376884385854626,0.0003534938822844301,0.0009067850369098627,0.0004075230395970062,0.00018403212973047456,7.928861774493804e-05,6.454551325715337e-05,0.00025761888743822467,-0.0001469433490831222,8.375128518738172e-05,-4.456665416139796e-05
4.3955351930824904e-05,9.386451333940012e-05,0.00015264981621703172,-8.785323878723985e-06,0.0011114957696976558,0.0006393042115150824,0.00035655383907477457,0.000915958101798905,0.0004092180371274056,0.0001840293642963521,7.936974751932897e-05,6.449526431187603e-05,0.0002555625831638591,-0.00015516698429079748,8.274974113389689e-05,-4.694578552925908e-05
4.25814494450327e-05,9.375461682181045e-05,0.00015369228960705972,-9.03636102590937e-06,0.0011204979714646943,0.0006398194552418712,0.0003590192179056862,0.0009237702496914426,0.00041028620467681943,0.0001837420192352072,7.932021114673193e-05,6.433777772005176e-05,0.0002530278820434693,-0.00016330796348100132,8.158487879176766e-05,-4.9298425654889585e-05
4.1112995386028615e-05,9.349966857278717e-05,0.00015451390504442444,-9.285979775625066e-06,0.0011280334541356205,0.0006393856818551064,0.0003609654603667828,0.0009303905372554242,0.0004108165244472825,0.00018321481098321324,7.915910628508218e-05,6.408928938690078e-05,0.00025008900181266525,-0.00017135197300397625,8.028337456391114e-05,-5.162117235505086e-05
3.956830980816961e-05,9.312100854922917e-05,0.00015514344349720996,-9.533418718010566e-06,0.0011342873014646314,0.0006381385470521388,0.0003624601859211847,0.0009359700983002597,0.00041088828657191576,0.0001824874480174064,7.890347363688306e-05,6.376425465202516e-05,0.00024681230804785817,-0.00017928645451813406,7.88690489072624e-05,-5.391103459014986e-05
3.796366264089588e-05,9.263764619077389e-05,0.00015560657706924723,-9.778017787708176e-06,0.0011394245391717155,0.0006361989555810768,0.0003635637164124275,0.0009406434353893701,0.00041057180944706996,0.0001815950124950257,7.856844652971634e-05,6.337548088897592e-05,0.00024325688011599564,-0.00018710046833628262,7.736307284179578e-05,-5.616539993326631e-05
3.6313436378716564e-05,9.206644544881603e-05,0.0001559261109648827,-1.0019211605825998e-05,0.001143591745703645,0.0006336742276756228,0.00036432964275557884,0.0009445297777613052,0.0004099291843651423,0.00018056835129184605,7.816740628223358e-05,6.293426462579422e-05,0.00023947509580602038,-0.0001947845623909083,7.57841814179199e-05,-5.8382004146710086e-05
3.463028953825485e-05,9.142231128911625e-05,0.00015612223054665042,-1.025652163252869e-05,0.0011469186742115221,0.0006306592754383175,0.0003648054040635379,0.0009477344468886762,0.0004090150169075867,0.00017943446315778517,7.771213739246163e-05,6.245052806105747e-05,0.00023551321369515884,-0.00020233064777412093,7.414888637306987e-05,-6.0558902780849675e-05
3.2925316111103806e-05,9.071837201345649e-05,0.00015621274480387092,-1.0489547896947752e-05,0.0011495198374449273,0.0006272377537826573,0.000365032858624726,0.0009503501890071414,0.00040787714607178787,0.00017821687285012096,7.721297842669739e-05,6.193295144162856e-05,0.00023141193872966222,-0.000209731881383676,7.247168261714048e-05,-6.269444469897515e-05
3.1208197880175316e-05,8.99661536496806e-05,0.00015621332042133683,-1.0717960794481497e-05,0.0011514960232619075,0.0006234831622917062,0.00036504883297393964,0.0009524584474997607,0.0004065573285273093,0.00017693598622963466,7.667896587252122e-05,6.138909896732926e-05,0.00022720696135616178,-0.00021698255590074436,7.076524499765293e-05,-6.478724742647892e-05
2.9487347669248307e-05,8.917574406643516e-05,0.00015613770275870695,-1.094149324955426e-05,0.001152935720384667,0.0006194598830820561,0.00036488564033219353,0.0009541305581251949,0.0004050918801932881,0.00017560942263919918,7.611796925153648e-05,6.082553678188694e-05,0.00022292946417482175,-0.00022407799710853036,6.904061314426744e-05,-6.683617422102034e-05
2.7770042466096232e-05,8.835594549633051e-05,0.0001559979216009104,-1.1159933411040547e-05,0.0011539164428242118,0.0006152241461767997,0.00036457156336166277,0.0009554288575195863,0.0004035122708675561,0.0001742523226062552,7.553681654730617e-05,6.024794226798992e-05,0.00021860659277405392,-0.00023101446841080058,6.730736318460191e-05,-6.884031276135461e-05
