E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9466719060771675e-06,3.1412059806832606e-06,4.011061784738504e-06,-6.632903433422143e-07,3.507782285297772e-05,2.182679288826333e-05,9.129311692305502e-06,2.834108940728899e-05,1.5394481493187682e-05,7.736065773491712e-06,3.051984273476052e-06,2.559287322906541e-06,1.1769848340898142e-05,-3.3963927475605494e-07,3.913171957426529e-06,-1.472264801585426e-07
5.6075321439894475e-06,8.702263286931044e-06,1.134109775800826e-05,-1.4968610978352791e-06,9.462796136324488e-05,5.968329912682409e-05,2.5982740536410702e-05,7.66584270431167e-05,4.118632987520822e-05,2.0640909633825202e-05,8.224393534048339e-06,6.894810523082482e-06,3.1399044043699794e-05,-8.061454702117109e-07,1.0543690245946661e-05,-3.958070756035342e-07
1.0586811887069694e-05,1.5971632891964283e-05,2.1142882239215102e-05,-2.2712958370900165e-06,0.00017014499756894501,0.00010845151329936187,4.867346176251972e-05,0.00013812497473201856,7.354915752128086e-05,3.677568996053692e-05,1.4772575722046151e-05,1.2380143578763525e-05,5.592766459513156e-05,-1.3224802912350334e-06,1.8931748146354647e-05,-7.190753939699299e-07
1.6462445008192763e-05,2.4322908629521547e-05,3.259617905561479e-05,-2.8987917337728876e-06,0.0002550078834622211,0.00016388999010460262,7.531506386257925e-05,0.00020736026344821525,0.00010960471666854836,5.469769226130308e-05,2.211834694040355e-05,1.8528582840680205e-05,8.314946600440814e-05,-1.878106696181192e-06,2.8330271965730455e-05,-1.1011958025483657e-06
2.2851980032581623e-05,3.324165439783263e-05,4.498989348797122e-05,-3.36327094447274e-06,0.00034420214272871843,0.00022264332939198425,0.0001042454831248008,0.00028025232887063384,0.00014723010821839975,7.335208764551717e-05,2.9824808670140218e-05,2.497221083234401e-05,0.00011144941462565065,-2.4906367464478005e-06,3.817402163040368e-05,-1.5322981747360224e-06
2.9438798620320823e-05,4.232671168805011e-05,5.774915984286796e-05,-3.6814278107153184e-06,0.0004340359827208166,0.00028216039895861636,0.00013410784067999592,0.0003537529080925345,0.00018489575484693547,9.198448455242918e-05,3.757102950455817e-05,3.1440773385804946e-05,0.00013967159199105992,-3.1855988080271287e-06,4.804767413202624e-05,-2.0057082109891935e-06
3.5977207227943794e-05,5.1279275942618224e-05,7.043384987491513e-05,-3.8818611684895925e-06,0.0005218782701917389,0.0003405761755716484,0.0001638561466300013,0.00042567760678466983,0.00022153213655815184,0.00011007099361736698,4.5128868033173964e-05,3.774228526428676e-05,0.00016701304820039017,-3.98659449400098e-06,5.765620914615282e-05,-2.5164121215144908e-06
4.22871588698167e-05,5.9887210790562743e-05,8.272375233864571e-05,-3.994564414881045e-06,0.0006059302078264431,0.00039658696229806246,0.00019272513448276367,0.0004945261391081716,0.00025642196685137257,0.0001272627810835992,5.2342874128455364e-05,4.37461653435719e-05,0.00019293933801912673,-4.911224963788706e-06,6.679902705360864e-05,-3.0602361133167615e-06
4.8244657610346387e-05,6.800860107692385e-05,9.439891024368517e-05,-4.046184130201043e-06,0.0006850336423299953,0.0004493339491837471,0.0002201861930922965,0.000559328319949086,0.00028911409517306467,0.00014334244871060274,5.911346780348924e-05,4.9369085068951884e-05,0.00021711788433004185,-5.97007078313418e-06,7.534818163906514e-05,-3.6334307166252804e-06
5.377110600515635e-05,7.555652313800346e-05,0.0001053195964043742,-4.05836424919685e-06,0.0007585143169544135,0.0004983016035513469,0.0002459011023537726,0.0006195163870785647,0.0003193555220934278,0.0001581899666845381,6.538321475445075e-05,5.456339334289915e-05,0.0002393658192508544,-7.16716414842999e-06,8.323056310725218e-05,-4.232477562229586e-06
5.8823229948891114e-05,8.248586376715682e-05,0.0001154080864855656,-4.0476391232521115e-06,0.0008260562561046484,0.0005432326988463968,0.0002696793170199019,0.0006748216787534581,0.00034703825217109545,0.00017175625782765808,7.112584577168584e-05,5.930783370974614e-05,0.00025960946784389785,-8.501083336226519e-06,9.041361254692447e-05,-4.854013161387875e-06
6.338429387610688e-05,8.878239521064053e-05,0.00012463308430371456,-4.026019767993834e-06,0.0008876027461566312,0.0005840593669431723,0.00029144117831639196,0.0007251926060034961,0.00037215813962070837,0.0001840428661903164,7.633761212653847e-05,6.360022026502927e-05,0.0002778531188208336,-9.966206204016438e-06,9.689405926884012e-05,-5.494810124672308e-06
6.74568171060306e-05,9.445399614789346e-05,0.00013299695441669246,-4.001815821403289e-06,0.0009432794019153543,0.0006208484389140784,0.0003111876147558953,0.0007707305831806808,0.00039478332365116344,0.0001950864335440769,8.103057610257655e-05,6.745174175909295e-05,0.00029415515151098805,-1.1553894163321086e-05,0.00010268917119273042,-6.151783241067861e-06
7.105674524807359e-05,9.952376671285529e-05,0.0001405255697841723,-3.980463903771418e-06,0.0009933351991459497,0.0006537589491930505,0.0003289759785596152,0.0008116407257560688,0.0004150302629255503,0.00020494695307625665,8.52274729145528e-05,7.088259213339127e-05,0.00030860995301371986,-1.3253509338547877e-05,0.00010783005075886857,-6.822003426847688e-06
7.42089137019549e-05,0.00010402474053671288,0.00014726043484968723,-3.96526017725384e-06,0.0010380978917608858,0.0006830096757310018,0.00034490126297070424,0.000848194464447908,0.0004330457440034405,0.00021369897398116757,8.895782903087492e-05,7.391866488139506e-05,0.00032133436569690835,-1.5053237966833057e-05,0.00011235656900457891,-7.5027113462070255e-06
7.694360051223525e-05,0.00010799590215140902,0.0001532527056834615,-3.957962877401783e-06,0.001077940797982879,0.0007088547745539215,0.00035908182584371343,0.0008807016321814982,0.0004489935516130979,0.0002214250984611958,9.225507239671547e-05,7.658908972524257e-05,0.0003324576584228363,-1.6940728203712564e-05,0.00011631359437074408,-8.191327302317019e-06
7.929396623459537e-05,0.00011147924713937343,0.0001585587454509164,-3.959264661777845e-06,0.0011132584721191107,0.0007315658279921728,0.00037164876967363665,0.0009094899869762893,0.00046304475067792766,0.00022821124911004656,9.515441718629955e-05,7.892442881021546e-05,0.00034211422185510874,-1.890356580991218e-05,0.00011974823324877089,-8.88545648681363e-06
8.129419782525228e-05,0.00011451766021038643,0.0001632368949343265,-3.969149792176847e-06,0.0011444492502784651,0.000751418900424914,0.00038273821944944,0.000934890506235763,0.00047537074594676277,0.00023414329477609128,9.769134728185843e-05,8.095538399136202e-05,0.000350438355879814,-2.0929615828299406e-05,0.00012270785297849402,-9.582889864630964e-06
8.297820007571357e-05,0.00011715342499016647,0.0001673451873322965,-3.9871562202800695e-06,0.0011719030610887313,0.000768685452766353,0.00039248585408180694,0.000957227112512839,0.0004861384608512941,0.0002393047113399989,9.990055805454932e-05,8.271189620713501e-05,0.0003575606520719455,-2.3007257604245127e-05,0.0001252387039178881,-1.0281601451570362e-05
8.437870553521674e-05,0.00011942721483860239,0.0001709397853558793,-4.0125626219890865e-06,0.0011959932278161097,0.0007836261936193865,0.000401023161960518,0.0009768097649245587,0.0004955071189825005,0.0002437750243433103,0.00010181524541167345,8.422254250176844e-05,0.0003636055820443722,-2.5125537340157952e-05,0.00012738499545908628,-1.0979742855924532e-05
8.552669915262132e-05,0.00012137744489274068,0.00017407396263352876,-4.044518136553716e-06,0.001217071262594298,0.0007964871371512462,0.0004084749956170211,0.0009939300768322498,0.0005036262250783424,0.00024762883643114256,0.0001034666550689625,8.551415641279857e-05,0.00036868998841649173,-2.7274258424175854e-05,0.00012918831216147733,-1.1675635895479369e-05
8.64510757876638e-05,0.00012303989140484756,0.00017679748911550582,-4.08212952125558e-06,0.0012354638748818755,0.0008074972964067673,0.0004149580903131696,0.001008858804514276,0.0005106344327307607,0.0002509352869238735,0.00010488382434423112,8.661161375816807e-05,0.00037292224323250226,-2.9444025859556797e-05,0.00013068728143099945,-1.2367763972152245e-05
8.71784670140912e-05,0.00012444750559815768,0.0001791563113856474,-4.124517389451693e-06,0.0012514715931481134,0.0008168675693887611,0.00042058028599558425,0.001021844699446903,0.00051665905751113,0.00025375782581693216,0.00010609346419658844,8.753773893395551e-05,0.0003764018924285173,-3.162625762193773e-05,0.00013191742434646482,-1.3054762742558704e-05
8.773318847248437e-05,0.00012563036624598986,0.0001811924440626804,-4.170850498753483e-06,0.0012653685389200293,0.0008247904780499636,0.00042544025253344383,0.0010331143344645137,0.0005218160505380046,0.0002561542120078493,0.00010711994144402535,8.831329722581973e-05,0.0003792196472509991,-3.381317281813359e-05,0.00013291113720710794,-1.3735410489523831e-05
8.813727084572206e-05,0.00012661572862984413,0.00018294400859154633,-4.220364811414271e-06,0.0012774030025641473,0.0008314405016394478,0.0004296275663082753,0.001042872606931614,0.0005262102916917855,0.0002581766670915706,0.00010798533068704878,8.895704683775547e-05,0.0003814576166904997,-3.599776411817013e-05,0.00013369776393460446,-1.4408618487014311e-05
8.841054680239701e-05,0.00012742813806805546,0.0001844453715307963,-4.272372261454485e-06,0.0012877985563642272,0.0008369748095583032,0.00043322302403824806,0.001051303694846853,0.0005299360961869556,0.0002598721328785305,0.00010870951296108442,8.948583077244399e-05,0.0003831897008929781,-3.817376002875849e-05,0.0001343037292757495,-1.5073421561179663e-05
8.85707734447805e-05,0.0001280895843847296,0.0001857273467285236,-4.326262782406923e-06,0.0012967555074522212,0.0008415342484263758,0.00043629910908955067,0.0010585722984947526,0.0005330778550440089,0.0002612825938619625,0.00010931030396233112,8.99146937108859e-05,0.0003844820856565555,-4.033558109673143e-05,0.0001347527103751264,-1.5728968981388514e-05
8.863377531979134e-05,0.00012861967998574998,0.00018681743524426458,-4.3815021080988605e-06,0.0013044525449354863,0.0008452444763254477,0.0004389205481270385,0.001064825044155579,0.0005357107507697866,0.0002624454359803914,0.0001098035991893806,9.025701292508835e-05,0.0003853937937242062,-4.247829299793956e-05,0.0001350658301759787,-1.6374515764085885e-05
8.861359725378884e-05,0.0001290358490210848,0.00018774008410682284,-4.437627088465551e-06,0.001311048475362267,0.00084821716653728,0.00044114491320166655,0.0010701919601607613,0.0005379015055454917,0.00026339382081718555,0.00011020352679801522,9.052463525204479e-05,0.0003859772606081686,-4.459755861027322e-05,0.0001352618606306931,-1.7009414435455832e-05
8.852265944334503e-05,0.00012935351876338462,0.00018851695048197861,-4.494239702161294e-06,0.0013166839710659075,0.0008505512254605722,0.00044302323742814194,0.0010747879614044662,0.0005397091314637417,0.00026415706035153984,0.00011052260160488694,9.072801444999052e-05,0.00038627891189829493,-4.668959052851912e-05,0.0001353574271553422,-1.763310727300663e-05
8.837190960720721e-05,0.00012958630708105509,0.00018916716194972066,-4.551000546819878e-06,0.00132148327898734,0.000852333986309616,0.0004446006222120396,0.0010787142980230662,0.0005411856616660754,0.0002647609819210062,0.00011077187567687109,9.087634500089053e-05,0.0003863397260242729,-4.8751105004113485e-05,0.0001353672083809118,-1.824511902855701e-05
8.81709687643802e-05,0.00012974620193526937,0.00018970756666829484,-4.607622305427811e-06,0.0013255558549285257,0.0008536423528925299,0.000445916821287911,0.0010820599387101567,0.0005423768482570188,0.00026522827648869186,0.00011096108244893475,9.097768973723714e-05,0.00038619577174383316,-5.077927794488314e-05,0.00013530412722346683,-1.8845050123486277e-05
8.7928268494878e-05,0.0001298437303465126,0.00019015296947630088,-4.663863491671332e-06,0.0013289979011256005,0.0008545438772030198,0.0004470067922157609,0.0010849028701348756,0.0005433228181209394,0.0002655788258764828,0.0001110987724363854,9.103909965230038e-05,0.00038587871359758904,-5.277170335749008e-05,0.00013517953076344722,-1.9432570299808134e-05
8.765117847627792e-05,0.00012988811538366967,0.00019051635164505493,-4.7195226441512e-06,0.0013318937945624282,0.0008550977614933039,0.00044790120991051427,0.001087311302033671,0.0005440586816458515,0.0002658300065245795,0.00011119243943532372,9.106672497657664e-05,0.0003854162815070861,-5.472635443448975e-05,0.0001350033575058419,-2.00074127063484e-05
