E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.976682755995476e-07,1.6301933294929595e-06,2.4964582407206928e-06,-2.317947408331057e-07,1.940354864036226e-05,1.1244046245411117e-05,5.770320762877491e-06,1.5929376547551487e-05,7.5312476609898805e-06,3.5088614511944136e-06,1.4511415729711118e-06,1.1974025778084846e-06,4.963428177849843e-06,-2.1607966630346475e-06,1.596530454932102e-06,-6.615435911377999e-07
2.233471171678734e-06,4.564541322580285e-06,6.99008307401794e-06,-6.490252743326957e-07,5.4329936193014334e-05,3.148332948715113e-05,1.6156898136056973e-05,4.4602254333144156e-05,2.1087493450771658e-05,9.824812063344357e-06,4.063196404319113e-06,3.3527272178637555e-06,1.389759889797956e-05,-6.050230656497013e-06,4.470285273809886e-06,-1.8523220551858391e-06
4.1709848138948965e-06,8.525557316387515e-06,1.3056048588844472e-05,-1.2128549177366676e-06,0.00010148107235009191,5.880565351773888e-05,3.0178104645293605e-05,8.330998391751892e-05,3.9388768802547885e-05,1.8351705365819506e-05,7.589765873135966e-06,6.262365546973928e-06,2.595851154735517e-05,-1.1301715566297174e-05,8.350120353021397e-06,-3.4599696913017663e-06
6.4940269866154375e-06,1.3277923485549023e-05,2.033417627333263e-05,-1.8908178766811731e-06,0.00015806365584137265,9.159073344094182e-05,4.7001926049929786e-05,0.00012975767922117001,6.135112134321423e-05,2.8584841172217753e-05,1.182235822537881e-05,9.753811462363193e-06,4.043108268429792e-05,-1.760529625431399e-05,1.3006560337657256e-05,-5.389379181731559e-06
9.104104584077541e-06,1.8622886469045297e-05,2.8520321110651298e-05,-2.6558412176999325e-06,0.00022172109310431156,0.00012847104212966942,6.592595321966638e-05,0.00018200865167439587,8.606014875863344e-05,4.009857606215206e-05,1.6585220724422736e-05,1.3681484820348235e-05,5.6711837171853935e-05,-2.4699862779354144e-05,1.824613000647505e-05,-7.560357441053073e-06
1.191814770375145e-05,2.4393342861756935e-05,3.735882267275831e-05,-3.4854135256942786e-06,0.00029047399745355353,0.0001682975490521019,8.63598617350053e-05,0.00023843580216633003,0.00011274787410538951,5.2535506423978745e-05,2.1730833908353822e-05,1.7923078003945782e-05,7.429376582518532e-05,-3.23663747176218e-05,2.3906409535042818e-05,-9.90558022534785e-06
1.486650267995183e-05,3.0449534761142106e-05,4.6635896723156135e-05,-4.360878023648448e-06,0.00036266823455636925,0.00021010976927838103,0.000107810086619413,0.00029767913903775664,0.000140772558498416,6.559703231632377e-05,2.713598622939389e-05,2.237636281170401e-05,9.275309059932516e-05,-4.042196878100131e-05,2.9851724795688808e-05,-1.236880880518184e-05
1.789115802763202e-05,3.667528401210943e-05,5.617385645515776e-05,-5.266831520164741e-06,0.00043692959989269625,0.0002531096065709727,0.0001298664316473901,0.00035860868594745997,0.00016960109431920944,7.903513314588065e-05,3.2698357186578076e-05,2.695640233601851e-05,0.0001117377081748119,-4.871483841493006e-05,3.596939441324999e-05,-1.4903336425789495e-05
2.094417916103838e-05,4.297470153954336e-05,6.582606481394749e-05,-6.190613479126451e-06,0.0005121243205861551,0.00029663853359264186,0.00015219038174620544,0.0004202921285837027,0.0001987936639990722,9.264520626011212e-05,3.833354573838482e-05,3.1593118919927e-05,0.00013095710933233218,-5.7119787865178364e-05,4.2166464649055095e-05,-1.7470636165858253e-05
2.3986329726108234e-05,4.926931519811832e-05,7.547253044678425e-05,-7.121871918019573e-06,0.0005873246688138022,0.0003401577050363266,0.00017450491323071758,0.000481966624917205,0.00022799038659089308,0.00010625983731571934,4.3972488431304576e-05,3.622917498173952e-05,0.00015017359508312216,-6.553437529238355e-05,4.83668714595674e-05,-2.003918522857125e-05
2.698585934709592e-05,5.5495565927608734e-05,8.501606977973527e-05,-8.052194844206011e-06,0.0006617790581416145,0.0003832306464800586,0.00019658562014886115,0.0005430142709574171,0.000256899707259402,0.00011974338697366055,4.955921842235567e-05,4.081812855392889e-05,0.0001691946314501419,-7.387557010560467e-05,5.4508976387678656e-05,-2.2583443711995203e-05
2.9917439479412424e-05,6.160262771746462e-05,9.437896662185824e-05,-8.974797612924732e-06,0.0007348860687054435,0.0004255082035596295,0.0002182529960672779,0.0006029407736624201,0.00028528831395499576,0.00013298729232615806,5.5048922513960206e-05,4.5322829866128626e-05,0.0001878662033583424,-8.207685897156578e-05,6.054342940016629e-05,-2.5082968559970608e-05
3.2761230847916006e-05,6.755051200281177e-05,0.00010350006864046604,-9.884257999343713e-06,0.0008061719131856491,0.00046671547315845955,0.00023936572940021472,0.0006613569355703799,0.0003129723913066804,0.00014590599369110433,6.040625855202864e-05,4.971402927456325e-05,0.00020606704454619244,-9.008574309888759e-05,6.643131748031995e-05,-2.7521645732535303e-05
3.550206761446712e-05,7.330842168402538e-05,0.00011233226712340226,-1.0776291968031025e-05,0.000875270913936945,0.0005066404712246439,0.0002598148870876647,0.0007179626025982823,0.0003398100445499268,0.00015843340820149423,6.560390014550958e-05,5.396917035806351e-05,0.00022370363498533375,-9.786157653885907e-05,7.214256280644904e-05,-2.9887025694351025e-05
3.812874495255999e-05,7.885332403257947e-05,0.00012084031273116382,-1.1647564134808883e-05,0.000941908613272797,0.0005451243209850661,0.0002795188762608753,0.0007725327679520148,0.0003656947464309292,0.0001705198811378245,7.062127972144153e-05,5.8071345114418055e-05,0.00024070587019775095,-0.00010537370150997287,7.765453877205975e-05,-3.216974913371489e-05
4.063339810929976e-05,8.416871536447303e-05,0.00012899892552275025,-1.2495527778309093e-05,0.0010058871845214715,0.0005820527711408222,0.000298419086683627,0.0008249055618046662,0.0003905496777999636,0.0001821295543468648,7.544350449862559e-05,6.20083909452759e-05,0.0002570233182757442,-0.00011259984225041896,8.295087600078455e-05,-3.436305142260174e-05
4.3010962309409556e-05,8.924355357416497e-05,0.00013679116248778314,-1.3318289995887411e-05,0.0010670728517460533,0.000617348876463445,0.00031647612840150736,0.0008749718888600855,0.0004143228482910232,0.00019323809849119714,8.006042310283004e-05,6.577211155340466e-05,0.0002726219905052963,-0.00011952472372520696,8.802043393995175e-05,-3.646233573537284e-05
4.5258704008578375e-05,9.407133746855836e-05,0.00014420701020099173,-1.4114498230493928e-05,0.0011253850615592768,0.0006509666933975099,0.0003336665893300119,0.0009226665046031817,0.0004369828973211824,0.00020383076239593534,8.44658233076787e-05,6.935760602874046e-05,0.0002874815604164537,-0.00012613888574495427,9.285641663546625e-05,-3.8464805982815925e-05
4.7375815042128704e-05,9.864931436081879e-05,0.00015124217409479853,-1.4883244937667867e-05,0.001180787181806698,0.0006828858611084109,0.0003499802466125999,0.0009679603463732144,0.0004585154878434829,0.0002139006985044055,8.865674381289901e-05,7.276269230133714e-05,0.0003015929739674028,-0.00013243766676379338,9.745561394577647e-05,-4.036915180889095e-05
4.9363062148284736e-05,0.00010297779961299955,0.00015789703927678142,-1.5623987628247115e-05,0.0012332785295202902,0.0007131069541596082,0.0003654176736148321,0.001010853957761457,0.0004789202160401754,0.00022344752851388643,9.263288510501512e-05,7.598741281852424e-05,0.0003149564005299086,-0.0001384203348775785,0.00010181775178697472,-4.217527885743622e-05
5.1222485182076846e-05,0.00010705959378660308,0.0001641757808510832,-1.6336481923646644e-05,0.0012828875548876518,0.0007416475068984252,0.0003799881915102542,0.001051371864568657,0.0004982079696164292,0.00023247611771599636,9.639610631983777e-05,7.90336117856604e-05,0.0003275794804876694,-0.00014408934639612968,0.00010594493705245522,-4.3884078360574304e-05
5.295713808480794e-05,0.00011089948480024271,0.0001700856043811023,-1.702072560587804e-05,0.0013296660294204851,0.0007685386218847758,0.00039370812066524884,0.0010895577779619274,0.0005163986756967753,0.00024099553048494607,9.994999667210443e-05,8.190457461735746e-05,0.00033947583067925243,-0.00014944971486338822,0.00010984118465261425,-4.549723084326323e-05
5.4570867343347596e-05,0.00011450382402943228,0.00017563609949505248,-1.767691194163105e-05,0.0013736841053779178,0.0007938220855011761,0.00040659929253977534,0.0011254705158128774,0.0005335193866694094,0.00024901814280347997,0.00010329951146261094,8.460472139896952e-05,0.0003506637736966225,-0.00015450847558991267,0.00011351201570248633,-4.701703939139088e-05
5.606812327112756e-05,0.00011788016663847093,0.0001808386917219705,-1.8305390815326273e-05,0.0014150261301053807,0.000817547923402283,0.0004186877876744833,0.0011591805467168665,0.000549602658783827,0.00025655889074644773,0.00010645066394119918,8.713934717427687e-05,0.0003611652612625298,-0.00015927423268077034,0.00011696411727419688,-4.844628850462201e-05
5.745379997583269e-05,0.00012103696762914829,0.00018570617948531146,-1.8906636425723494e-05,0.0014537871135538029,0.0008397723368466745,0.0004300028696083349,0.0011907670730983441,0.0005646851839885845,0.00026363463650473065,0.0001094102654162426,8.95144027704292e-05,0.0003710049656206537,-0.0001637567772216828,0.00012020505534982453,-4.9788125059255207e-05
5.873310035405636e-05,0.0001239833261440469,0.00019025234480274885,-1.94812204892855e-05,0.0014900697600821098,0.000860555968334428,0.00044057608833238045,0.0012203155802866944,0.0005788066404898414,0.00027026363587112016,0.00011218570697651014,9.173631065935085e-05,0.00038020951613943263,-0.00016796676675638405,0.00012324303367913678,-5.104595834890696e-05
5.9911422876668256e-05,0.00012672877148998347,0.00019449162766936134,-2.0029790055236633e-05,0.001523981986926579,0.0008799624514683245,0.0004504405301947113,0.0012479157876668957,0.0005920087318988045,0.0002764650931631282,0.00011478477704599813,9.381181104837486e-05,0.0003888068612054761,-0.00017191545747414973,0.00012608669218371816,-5.222337655922584e-05
6.099426730579217e-05,0.0001292830851641829,0.00019843885535939442,-2.0553049175742096e-05,0.0015556348616277463,0.0008980572056677343,0.00045963019408207034,0.0012736599461167484,0.0006043343886889245,0.00028225879135950025,0.00011721550974103802,9.574783400287561e-05,0.00039682573801099114,-0.00017561448165088716,0.00012874493937014195,-5.332407737350483e-05
6.198715682003947e-05,0.0001316561538850365,0.0002021090189890495,-2.105174379301014e-05,0.001585140899402059,0.0009149064413843048,0.0004681794762621956,0.0012976414330678517,0.0006158271090651068,0.0002876647868074169,0.00011948605965453957,9.755139393986885e-05,0.0004042952350622232,-0.00017907566386983985,0.00013122681393405294,-5.435181070470672e-05
6.289557432341196e-05,0.00013385784926219483,0.000205517090656851,-2.1526649306118424e-05,0.001612612669075277,0.0009305763458786781,0.000476122748519287,0.0013199536027862413,0.0006265304193132964,0.0002927031592424462,0.00012160459926591518,9.922950330259103e-05,0.0004112444341883739,-0.0001823108704062855,0.00013354137136667928,-5.531033181107811e-05
6.372491097903293e-05,0.00013589793029741381,0.0002086778753346155,-2.1978560366364817e-05,0.0016381616628848173,0.0009451324234895512,0.0004834940161898021,0.00134068885496283,0.0006364874362990685,0.00029739380907665264,0.00012357923567699335,0.00010078910263961253,0.0004177021205445415,-0.00018533188690990674,0.0001356975919262435,-5.62033632816438e-05
6.448042524513338e-05,0.00013778596539695256,0.00021160589243469417,-2.240828252301331e-05,0.0016618973913211795,0.0009586389677240152,0.0004903266444395409,0.0013599378895238687,0.0006457405170620683,0.0003017562949725012,0.00012541794381284576,0.00010223700467486204,0.0004236965506060453,-0.00018815032017226,0.00013770430681857735,-5.703456457836584e-05
6.516721090066219e-05,0.00013953127100633502,0.00021431528264014845,-2.281662540325082e-05,0.0016839266693133017,0.00097115864547756,0.0004966531426443411,0.0013777891197974596,0.0006543309824478628,0.0003058097056495281,0.00012712851360962462,0.00010357985027303981,0.0004292552694699238,-0.00019077752033679152,0.00013957013985238843,-5.7807507997079444e-05
6.579017273434387e-05,0.00014114286435591906,0.00021681973616464981,-2.320439716255938e-05,0.0017043530645567723,0.0009827521763030695,0.0005025049980709363,0.00139432821987444,0.0006622989034641034,0.00030957256068325865,0.00012871850904604297,0.00010482407448358451,0.00043440496993442916,-0.00019322452040555763,0.00014130346220250713,-5.8525660062530274e-05
