E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5002453e-08,-8.039838e-09,6.448715e-08,-1.3349944e-08,4.5493294e-07,2.4166323e-07,-5.6521216e-08,5.050945e-07,2.5835146e-07,1.2728114e-07,4.1329322e-08
-4.3762054e-08,-2.3260053e-08,1.9257743e-07,-3.905597e-08,1.3517159e-06,7.1956777e-07,-1.644405e-07,1.5006076e-06,7.66712e-07,3.776525e-07,1.2276908e-07
-8.510889e-08,-4.4856904e-08,3.8334312e-07,-7.6177685e-08,2.67748e-06,1.428274e-06,-3.1892966e-07,2.9721189e-06,1.5169304e-06,7.4702444e-07,2.4312172e-07
-1.379447e-07,-7.20796e-08,6.3581666e-07,-1.2382567e-07,4.41957e-06,2.3623309e-06,-5.1544157e-07,4.905463e-06,2.501043e-06,1.2314061e-06,4.0121094e-07
-2.0123935e-07,-1.04227645e-07,9.489945e-07,-1.8115912e-07,6.5655463e-06,3.5162855e-06,-7.4969665e-07,7.2867288e-06,3.711271e-06,1.826904e-06,5.9588154e-07
-2.7402746e-07,-1.4064808e-07,1.3218403e-06,-2.4738353e-07,9.103183e-06,4.8846864e-06,-1.01767e-06,1.0102258e-05,5.140015e-06,2.5297197e-06,8.2599934e-07
-3.5540512e-07,-1.8073332e-07,1.7532889e-06,-3.217485e-07,1.2020471e-05,6.462093e-06,-1.3155791e-06,1.3338645e-05,6.779857e-06,3.336148e-06,1.0904514e-06
-4.445268e-07,-2.2391859e-07,2.2422487e-06,-4.0354567e-07,1.5305613e-05,8.243078e-06,-1.6398717e-06,1.6982733e-05,8.623549e-06,4.2425745e-06,1.3881457e-06
-5.406022e-07,-2.6967976e-07,2.787606e-06,-4.921067e-07,1.894702e-05,1.0222231e-05,-1.987216e-06,2.1021617e-05,1.0664017e-05,5.245473e-06,1.7180103e-06
-6.4289395e-07,-3.175311e-07,3.3882254e-06,-5.8680143e-07,2.293333e-05,1.23941745e-05,-2.354487e-06,2.5442636e-05,1.2894354e-05,6.3414086e-06,2.078995e-06
-7.5071443e-07,-3.6702352e-07,4.042955e-06,-6.8703594e-07,2.7253374e-05,1.4753556e-05,-2.7387593e-06,3.0233385e-05,1.5307818e-05,7.527027e-06,2.4700691e-06
-8.6342305e-07,-4.1774237e-07,4.75063e-06,-7.922507e-07,3.1896212e-05,1.7295062e-05,-3.137296e-06,3.538168e-05,1.789783e-05,8.799063e-06,2.890223e-06
-9.804246e-07,-4.6930552e-07,5.5100654e-06,-9.019194e-07,3.6851096e-05,2.0013404e-05,-3.5475389e-06,4.08756e-05,2.0657966e-05,1.01543255e-05,3.338466e-06
