E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8033569791076734e-06,1.657461276110931e-05,6.883827330161227e-06,5.80442667074017e-06,1.9789184502510733e-06,1.2954994538475628e-05,3.4829543038016852e-06,1.0345145442831814e-06,2.980530278503867e-06,7.018463692361566e-06,1.5213025961436185e-06,1.9551038940868718e-06,0.0,3.97447573623107e-06,5.155238374243305e-07,0.0
6.423863436036066e-06,5.924937862609811e-05,2.4737513889253508e-05,2.0908279056170262e-05,7.041278887484057e-06,4.600003605261708e-05,1.2522743877394154e-05,3.7394072476215747e-06,1.0498633890437651e-05,2.4709056997875753e-05,5.432031448537526e-06,7.003775073287639e-06,0.0,1.4047626507694527e-05,1.7898218300392792e-06,0.0
1.2946938326680564e-05,0.00011957996271250564,5.015374898128411e-05,4.249505923733814e-05,1.4164792450964927e-05,9.239067294696627e-05,2.540663657517882e-05,7.663407632827501e-06,2.0946811263294514e-05,4.92771883636284e-05,1.0957560389824046e-05,1.4164255772230605e-05,0.0,2.8104228525535318e-05,3.5365400906586146e-06,0.0
2.0663041887764774e-05,0.00019097367027474078,8.045349851557542e-05,6.834047941498284e-05,2.2556912053382185e-05,0.00014691528731082185,4.07877252082586e-05,1.244993481124264e-05,3.3096662521877965e-05,7.782527497670561e-05,1.7494638446736477e-05,2.2667933279637784e-05,0.0,4.452059617240553e-05,5.541886401441592e-06,0.0
2.9068473254059493e-05,0.00026859835926166896,0.00011363595368878,9.677493249601575e-05,3.165135796786628e-05,0.00020588817936762808,5.766120092549815e-05,1.784540592678626e-05,4.610796524074766e-05,0.00010837525238796208,2.46054372101505e-05,3.194840684583962e-05,0.0,6.216891351078128e-05,7.672747491406338e-06,0.0
3.780972368240286e-05,0.0003489654009609931,0.00014822845454508333,0.00012656048430670786,4.10492677213012e-05,0.0002667410460121576,7.528777580733768e-05,2.3667824918088217e-05,5.941699264699919e-05,0.00013960314382785444,3.1976671210590994e-05,4.159410274021615e-05,0.0,8.027930344475834e-05,9.8493485778838e-06,0.0
4.660208808186908e-05,0.000429336984304095,0.00018307645616364064,0.00015671828560352328,5.043386458932908e-05,0.0003274272336488207,9.308616974921597e-05,2.975953364210255e-05,7.2571546408096e-05,0.00017044677320711773,3.936094181321862e-05,5.128104615598467e-05,0.0,9.823728322093153e-05,1.200371971839456e-05,0.0
5.5266152189834176e-05,0.0005079253433801393,0.00021740155555809233,0.00018657828309391104,5.9605814759501155e-05,0.0003866811631048763,0.00011066413593335673,3.601356700952951e-05,8.531064075669456e-05,0.00020029599071629656,4.6598612752652604e-05,6.079501364885546e-05,0.0,0.00011567695978873823,1.4103929446551296e-05,0.0
6.368015918716136e-05,0.0005835245727200843,0.00025066682977758245,0.0002156690126600849,6.843238715240039e-05,0.0004436676549605743,0.0001277499520534386,4.234754454136578e-05,9.747005094729013e-05,0.00022876834335824019,5.3582087805550946e-05,6.998960914671932e-05,0.0,0.00013236355519434412,1.6131690386286295e-05,0.0
7.174098577727097e-05,0.0006551751519851978,0.0002824483246046808,0.00024361361670679948,7.680429808609191e-05,0.0004976901367145874,0.00014412765172530835,4.868501238938362e-05,0.0001089075148081913,0.00025553175134321223,6.022425932356637e-05,7.874787091525465e-05,0.0,0.0001480979752031833,1.8066706678106728e-05,0.0
