E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.943151839893468e-08,8.551305362288774e-08,1.2345188643391035e-06,-7.182464820131458e-08,6.666277242675259e-06,4.065926209309934e-06,7.856378274323093e-08,7.5632265197931625e-06,3.7773775718965015e-06,1.8459750100684754e-06,6.681710828334508e-07,5.41295503457915e-07,2.2025182091935233e-06,-4.43715351693861e-07,9.742002567277034e-08,-7.676338436356579e-09
-2.9615055032407713e-07,3.188258492456742e-07,4.602760068415697e-06,-2.6778941242835396e-07,2.4854438985537303e-05,1.515933314703925e-05,2.929165014650399e-07,2.8198610588269077e-05,1.4083513445824535e-05,6.882502746100465e-06,2.4911979214776088e-06,2.018157316091699e-06,8.211833260587577e-06,-1.6543406090452627e-06,3.6321922315925324e-07,-2.862030784187295e-08
-6.239645092733773e-07,6.717376893956557e-07,9.697614584466984e-06,-5.642096642890204e-07,5.23661390633088e-05,3.193939469072709e-05,6.171484757462463e-07,5.9412020244876305e-05,2.9672737406067096e-05,1.4500834795571764e-05,5.248737582684103e-06,4.252082039560942e-06,1.7301617184259302e-05,-3.485552357450641e-06,7.652712528536588e-07,-6.030054311452371e-08
-1.0415510461622928e-06,1.121288896017904e-06,1.6187647243288658e-05,-9.418043015062905e-07,8.741166450995042e-05,5.331451840994333e-05,1.030164740258091e-06,9.91729397425822e-05,4.9530926811977406e-05,2.420537874673694e-05,8.761405451132593e-06,7.097746941528923e-06,2.8880553076895935e-05,-5.818226930697342e-06,1.2774213900618827e-06,-1.0065627961083867e-07
-1.5293961273117197e-06,1.6464682438841568e-06,2.3769543521662636e-05,-1.3829276163200261e-06,0.00012835314919258645,7.828572806187838e-05,1.512660886652315e-06,0.0001456231307410511,7.27300021097893e-05,3.55425900959336e-05,1.2865036482004678e-05,1.0422159088276144e-05,4.240749394927663e-05,-8.543347209546266e-06,1.875734039511824e-06,-1.4780156515073602e-07
-2.0697940344479896e-06,2.2282129605928245e-06,3.216810954235699e-05,-1.8715692954869765e-06,0.00017370457381150472,0.00010594666359134301,2.047123063561179e-06,0.00019707663230664454,9.842792683261724e-05,4.81009722475824e-05,1.7410685200983918e-05,1.410465534470036e-05,5.7391462726272446e-05,-1.1562002621731881e-05,2.538492735353386e-06,-2.0002526001752205e-07
-2.6468473647028646e-06,2.8494087265689744e-06,4.113627207412606e-05,-2.3933544202807762e-06,0.00022213176590015648,0.00013548358113076858,2.6178279765974238e-06,0.00025201976091242186,0.0001258687076004562,6.151107651418704e-05,2.2264625704255822e-05,1.803690237431656e-05,7.339165224684639e-05,-1.478538914196222e-05,3.246200141158471e-06,-2.5579103695789155e-07
-3.246924909430824e-06,3.495380593594523e-06,5.046217552142368e-05,-2.935957186518026e-06,0.00027249072577068494,0.0001661987263746548,3.21129331608893e-06,0.00030915459187841896,0.00015440410948183592,7.545611496890436e-05,2.7312193330419472e-05,2.212600860540484e-05,9.003008790324659e-05,-1.8137360895038852e-05,3.982138051442997e-06,-3.137815638562068e-07
-3.861304850891184e-06,4.156734468443687e-06,6.0010223194925645e-05,-3.491490316885364e-06,0.000324049248071209,0.00019764550549099776,3.818887158456563e-06,0.0003676504028577345,0.0001836192351690315,8.973333172778766e-05,3.2479998911370096e-05,2.6312519889987697e-05,0.00010706484992413657,-2.1569182996178797e-05,4.735605990866739e-06,-3.731538068371439e-07
