E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3,S4,V1,V2,V3,V4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.250157235233004e-08,2.2000143103914392e-07,3.378403836849036e-06,-4.5271546351227727e-07,2.0690679228020925e-05,1.3095140586946555e-05,-1.128131797011098e-06,2.2917353718231762e-05,1.180615870672479e-05,5.753786795669605e-06,2.062908301076882e-06,2.0492410111827e-06,8.937158326883506e-06,-9.757217163204964e-08,4.0629162900987985e-07,-3.915967921033244e-08
1.396951722410583e-07,1.047542705498732e-06,1.262578783023711e-05,-1.408793692329379e-06,7.505819263303321e-05,4.8134063740487664e-05,-2.751288023984451e-06,8.305133124065664e-05,4.24728519986203e-05,2.0664735669419423e-05,7.4725053491799715e-06,7.403780279061258e-06,3.205257596703607e-05,-2.506363768108982e-07,1.554518058960309e-06,-1.261749528764766e-07
8.057098197366374e-07,2.533210721143304e-06,2.635172959443552e-05,-2.500953925292128e-06,0.0001531317633773297,9.919357965456962e-05,-3.4685899916884336e-06,0.00016931354848689786,8.608728026763728e-05,4.1829785305105824e-05,1.522797169214649e-05,1.5053919301598451e-05,6.478078721242167e-05,-3.6490310001621106e-07,3.2979062381283956e-06,-2.3203589888293312e-07
2.038334172541999e-06,4.649606740607374e-06,4.334171124090468e-05,-3.4974914764985636e-06,0.00024691431300899436,0.00016134904044059245,-2.5173992440693297e-06,0.00027283608442692524,0.00013800388561959186,6.697723400783896e-05,2.4529637551806696e-05,2.4197173054082107e-05,0.00010355224495551464,-3.9808204245165345e-07,5.4962907020532e-06,-3.377529247993238e-07
3.7570541743112325e-06,7.260508949544887e-06,6.247028307476196e-05,-4.321259979743135e-06,0.0003500941349218886,0.00023041955255743564,9.73407281099104e-08,0.00038666382938238935,0.00019471935357646736,9.440974995454327e-05,3.475150843206571e-05,3.421209951976407e-05,0.00014570212186214467,-3.749086199924099e-07,8.001027512699182e-06,-4.355323511412474e-07
5.854667885352223e-06,1.022661774715455e-05,8.281508285631481e-05,-4.94379497901437e-06,0.000457776869572276,0.00030307761269356907,4.191720647413825e-06,0.0005054154390075082,0.0002535650383091991,0.0001228392201433278,4.5409653143302455e-05,4.462078059889488e-05,0.00018921201021016205,-3.2957831442523626e-07,1.068587062091868e-05,-5.214638306360005e-07
8.225594567805804e-06,1.3423733608827513e-05,0.00010364765503185649,-5.360726636270813e-06,0.0005662425985224906,0.0003767482729681653,9.526764387084992e-06,0.0006250067513531089,0.0003125387891682759,0.0001513018880255807,5.613706196471098e-05,5.506244471398845e-05,0.0002325760967496792,-2.948975821988387e-07,1.3449014423843887e-05,-5.937494931835081e-07
1.0733242850890373e-05,1.6717113162159255e-05,0.00012437871547118275,-5.611452158550848e-06,0.00067282572822877,0.0004494699937357313,1.56870297625015e-05,0.0007425276483173917,0.00037027109795430757,0.00017914529887167182,6.667277676060662e-05,6.528383063839442e-05,0.0002747797187894653,-3.15326086800279e-07,1.620253641036532e-05,-6.539942407541565e-07
1.328585080545356e-05,2.001346929259231e-05,0.00014457956645192363,-5.719381251143053e-06,0.0007755461565340918,0.0005198044791895883,2.2397402985972198e-05,0.0008558124128272067,0.00042573498337551994,0.00020587907428330153,7.682261338689784e-05,7.509674002268565e-05,0.0003150646886167995,-4.175119291977875e-07,1.888364969768391e-05,-7.029911293435525e-07
1.5808893658187746e-05,2.3239553892848216e-05,0.00016393953955074514,-5.709067098600035e-06,0.0008730305514917476,0.0005867335992771422,2.9419212538653338e-05,0.0009633608513822958,0.0004782303776406195,0.00023117020276017548,8.64522458088253e-05,8.437218238901703e-05,0.0003529212081876385,-6.212799465864248e-07,2.1446245064510098e-05,-7.418554150666553e-07
1.8228780498116298e-05,2.633024523544116e-05,0.00018225121381891884,-5.61770982044672e-06,0.000964529343836841,0.0006496390192729718,3.6485420171277796e-05,0.0010643618501707868,0.0005274110457903124,0.0002548578599102932,9.548944630407836e-05,9.304327472993143e-05,0.00038811101451991263,-9.460211456693897e-07,2.3857196623841156e-05,-7.728141737766882e-07
2.0499440002781444e-05,2.924419986018173e-05,0.00019938207563393058,-5.469460939580863e-06,0.0010495679284075448,0.0007081305090955314,4.3423374595353706e-05,0.0011583002610921398,0.0005730579647443258,0.0002768402735866568,0.00010388845283476783,0.000101068403682482,0.000420488778835805,-1.4006340326176492e-06,2.60958072754551e-05,-7.97317386981278e-07
2.2595657598626058e-05,3.1957985211104e-05,0.00021525457833848166,-5.2782824033582515e-06,0.0011278685066955741,0.0007619833053438432,5.013286842755302e-05,0.0012448725105047782,0.0006150418932880368,0.00029705719728306297,0.0001116224078569614,0.00010842389809689624,0.00044997420669941275,-1.9862441029351505e-06,2.815055420187516e-05,-8.162010336178838e-07
2.4495125877053618e-05,3.445421298481086e-05,0.00022984727776112374,-5.0629265886403465e-06,0.0011994754823340624,0.0008111837799696857,5.650905423382726e-05,0.0013241303941255336,0.0006534137215091706,0.00031553578669758135,0.00011869645077054561,0.00011511790466244327,0.0004766243856674805,-2.703084912887366e-06,3.001720912089636e-05,-8.307569153908156e-07
2.618930470221209e-05,3.672837775857809e-05,0.00024318946416626854,-4.837267239425491e-06,0.0012646510560002128,0.0008558835949420225,6.249053467421986e-05,0.001396362520233625,0.0006883335777925182,0.0003323549382102981,0.00012513695378760546,0.00012117915130602835,0.0005005775631378783,-3.546329556846703e-06,3.1699392890238494e-05,-8.420326638375173e-07
2.7676535357669858e-05,3.878117671717008e-05,0.0002553181224424574,-4.61029388876056e-06,0.0013236571702227222,0.0008962473694625655,6.804394991449488e-05,0.0014618554535782502,0.0007199540236106288,0.0003475891395094348,0.00013097003472502025,0.00012663565519291495,0.0005219641242666461,-4.509038401731436e-06,3.32023998582207e-05,-8.507435961385678e-07
2.8960459565704502e-05,4.0617243650771563e-05,0.0002662749672552997,-4.3870267129851925e-06,0.0013767477990707661,0.0009324447342974949,7.315818135457909e-05,0.0015208856611070953,0.0007484173391203633,0.00036130731404334455,0.0001362208421590769,0.000131514070415606,0.0005409047407010542,-5.58278428846819e-06,3.453264806867448e-05,-8.573318649070646e-07
3.004657370950264e-05,4.2243799228180526e-05,0.00027611966483246086,-4.173136271596223e-06,0.0014242728380518483,0.000964710043467425,7.782519577645242e-05,0.0015738352501844643,0.0007739183072644218,0.0003736037528029767,0.00014092401853941535,0.00013585035664379509,0.0005575594035437862,-6.758816956199993e-06,3.569895732004443e-05,-8.623226180678438e-07
3.0949364877132514e-05,4.36767086255822e-05,0.0002849479762296765,-3.971441304299974e-06,0.0014667420337988102,0.000993396822622332,8.206467212061313e-05,0.0016212605152886594,0.0007967330351614021,0.00038461139943580435,0.00014512982783673493,0.00013969563316666508,0.0005721485392009489,-8.025216767117656e-06,3.671562694623723e-05,-8.66111419359447e-07
3.168395712629081e-05,4.493182720577018e-05,0.00029284886445729114,-3.7831595420214897e-06,0.001504617731835644,0.0010188295261675773,8.590214057600569e-05,0.0016636654044712017,0.0008171098688828919,0.00039444961172239377,0.00014888379317911038,0.0001430960992092244,0.0005848702696950727,-9.370338237793642e-06,3.759612106833972e-05,-8.689659265442676e-07
3.2263422977999535e-05,4.602271673044845e-05,0.00029989766323482863,-3.6092336883315748e-06,0.0015382908718503847,0.0010412830758066496,8.93596718214612e-05,0.0017014757763183157,0.0008352585843138889,0.0004032191804903107,0.00015222439617563246,0.0001460908421306306,0.0005958925223211823,-1.078386647350992e-05,3.835191141796493e-05,-8.711064529507537e-07
3.269878341660596e-05,4.696064536023128e-05,0.0003061560769909917,-3.4503314194468e-06,0.0015680809876951129,0.0010609828605411614,9.24558770256977e-05,0.0017350393999509333,0.0008513503871528006,0.00041100232961412006,0.0001551830769164081,0.00014871183742419048,0.0006053530296467963,-1.2256817168257997e-05,3.8992477337252145e-05,-8.727059674734078e-07
3.299984659510935e-05,4.775561106885961e-05,0.00031167875179270255,-3.307045964058081e-06,0.0015942711198829683,0.001078128625245989,9.520722668819543e-05,0.0017646642512383183,0.000865536907901365,0.00041787187709860945,0.00015778768290074244,0.00015098740102476217,0.0006133739590295659,-1.3781103978889191e-05,3.952623203561252e-05,-8.739177797085573e-07
