E1,E2,E3,E4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
6.091534084873985e-08,7.647210752879022e-08,1.0892703393126343e-07,3.1159828527922275e-09
1.8071551118459488e-07,2.2686725233541092e-07,3.231502006627482e-07,9.244082463283608e-09
3.5742130638717067e-07,4.4870078321240545e-07,6.391303276683416e-07,1.828303060968445e-08
5.891036642657114e-07,7.395510057113515e-07,1.053417890146916e-06,3.0134099158728587e-08
8.738825257768351e-07,1.0970577513064322e-06,1.5626509748531971e-06,4.4701043486440515e-08
1.2099257202488521e-06,1.5189209773488591e-06,2.163553287706176e-06,6.189004708029317e-08
1.5954478746007255e-06,2.0028993971685563e-06,2.8529322042610727e-06,8.160966729907084e-08
2.0287093460543054e-06,2.5468091396928125e-06,3.6276768621497285e-06,1.0377078226721346e-07
2.50801517784882e-06,3.148522437964641e-06,4.484756294612776e-06,1.2828653888087158e-07
3.0317140774767545e-06,3.8059663459563373e-06,5.421217604265036e-06,1.550723019033457e-07
3.5981974169701573e-06,4.5171214830862276e-06,6.434184176253302e-06,1.8404560412801937e-07
4.20589825477616e-06,5.280020805858803e-06,7.52085392998301e-06,2.151260975873232e-07
4.8532903787699845e-06,6.092748406060444e-06,8.678497608607294e-06,2.482355057866858e-07
5.538887369963066e-06,6.9534383349546355e-06,9.904457105488545e-06,2.832975769428398e-07
6.261241686473006e-06,7.860273452932067e-06,1.1196143826858888e-05,3.202380382062532e-07
7.018943767331056e-06,8.811484304082266e-06,1.2551037089921934e-05,3.58984550847854e-07
7.810621155711537e-06,9.805348015164397e-06,1.3966682555653797e-05,3.994666663906017e-07
8.634937641176213e-06,1.0840187218465668e-05,1.5440690695576635e-05,4.416157836668425e-07
9.490592420534996e-06,1.1914368998046328e-05,1.697073529179299e-05,4.853651067827562e-07
1.037631927693261e-05,1.3026303858880583e-05,1.8554551969583855e-05,5.306496039715704e-07
1.1290885776778882e-05,1.4174444718412888e-05,2.0189936761887735e-05,5.774059673175773e-07
1.2233092484148167e-05,1.5357285920058987e-05,2.187474470499208e-05,6.255725733333381e-07
1.3201772192281261e-05,1.6573362268190786e-05,2.3606888464782285e-05,6.750894443728086e-07
1.4195789171830549e-05,1.782124808415364e-05,2.5384336992906785e-05,7.258982108634576e-07
1.5214038435496683e-05,1.9099556282873987e-05,2.720511421223021e-05,7.779420743407808e-07
1.6255445018712266e-05,2.040693746962436e-05,2.906729773095937e-05,8.311657712689397e-07
1.731896327603515e-05,2.174207905652172e-05,3.096901758483954e-05,8.855155376315771e-07
1.840357619292089e-05,2.310370439834388e-05,3.290845500683092e-05,9.409390742771688e-07
1.9508294712550747e-05,2.449057194725722e-05,3.488384122368748e-05,9.973855130035866e-07
2.0632157077398284e-05,2.590147442605753e-05,3.6893456278871925e-05,1.0548053833668409e-06
2.1774228185224132e-05,2.7335238019533724e-05,3.893562788125268e-05,1.1131505801992737e-06
2.2933598959194944e-05,2.879072158357251e-05,4.100873027903983e-05,1.1723743318227593e-06
2.4109385731828744e-05,3.0266815871629768e-05,4.311118315842829e-05,1.2324311689427568e-06
2.530072964247518e-05,3.176244277820232e-05,4.524145056642755e-05,1.2932768942093357e-06
2.6506796048044967e-05,3.327655459894112e-05,4.739803985736778e-05,1.3548685524315698e-06
2.7726773946708992e-05,3.480813330705449e-05,4.957950066258307e-05,1.4171644014319664e-06
2.8959875414293063e-05,3.635618984565721e-05,5.178442388278228e-05,1.4801238835278548e-06
3.020533505310007e-05,3.791976343572831e-05,5.401144070262871e-05,1.5437075976269243e-06
3.146240945289692e-05,3.949792089934758e-05,5.625922162705915e-05,1.6078772719243458e-06
3.273037666380881e-05,4.1089755997887365e-05,5.8526475538882884e-05,1.6725957371891691e-06
3.40085356808691e-05,4.269438878484317e-05,6.081194877721058e-05,1.7378269006279238e-06
3.52962059399777e-05,4.431096497299284e-05,6.31144242362723e-05,1.8035357203135946e-06
3.659272682502663e-05,4.5938655315580954e-05,6.543272048419296e-05,1.8696881801683761e-06
3.789745718595589e-05,4.757665500123063e-05,6.77656909013026e-05,1.9362512654888385e-06
3.920977486750784e-05,4.922418306229197e-05,7.011222283756731e-05,2.0031929390023662e-06
4.052907624845328e-05,5.0880481796341606e-05,7.247123678873553e-05,2.0704821174439454e-06
4.185477579106672e-05,5.254481620055426e-05,7.484168559080246e-05,2.1380886486426018e-06
4.31863056006333e-05,5.4216473418672656e-05,7.72225536324039e-05,2.2059832891069942e-06
4.452311499477417e-05,5.5894762200308095e-05,7.961285608475869e-05,2.2741376820998826e-06
4.586467008238138e-05,5.757901237230921e-05,8.201163814878655e-05,2.342524336191391e-06
4.7210453351958096e-05,5.926857432194214e-05,8.441797431903654e-05,2.411116604281189e-06
4.8559963269163674e-05,6.096281849163057e-05,8.683096766406804e-05,2.4798886630799098e-06
4.991271388336763e-05,6.266113488500928e-05,8.924974912293423e-05,2.548815493040315e-06
5.1268234443020564e-05,6.43629325840499e-05,9.167347681742502e-05,2.617872858728908e-06
5.262606901965384e-05,6.606763927702287e-05,9.410133537973344e-05,2.687037289628876e-06
5.398577614032403e-05,6.777470079706387e-05,9.653253529521667e-05,2.7562860613654387e-06
5.534692842832174e-05,6.948358067111879e-05,9.896631225992944e-05,2.825597177344833e-06
5.670911225196822e-05,7.119375967904465e-05,0.00010140192655261443,2.894949350798369e-06
5.8071927381326985e-05,7.290473542265014e-05,0.00010383866242084081,2.964321987223136e-06
5.943498665266092e-05,7.461602190446214e-05,0.00010627582748098818,3.0336951672111266e-06
6.0797915640469215e-05,7.63271491160107e-05,0.00010871275213178006,3.1030496296586953e-06
6.216035233694176e-05,7.803766263542807e-05,0.00011114878898107645,3.1723667553484415e-06
6.35219468386719e-05,7.974712323416226e-05,0.0001135833122856417,3.241628550895758e-06
6.488236104047202e-05,8.14551064926094e-05,0.00011601571740360941,3.310817633052444e-06
6.624126833613934e-05,8.316120242447354e-05,0.00011844542025937196,3.379917213359933e-06
6.75983533260229e-05,8.486501510966639e-05,0.00012087185682062805,3.4489110831448395e-06
6.895331153124518e-05,8.65661623355632e-05,0.00012329448258732695,3.517783598849662e-06
7.030584911443566e-05,8.826427524643524e-05,0.00012571277209225395,3.5865196676916445e-06
7.165568260683589e-05,8.995899800088261e-05,0.00012812621841300624,3.6551047336429163e-06
7.300253864163885e-05,9.164998743709515e-05,0.0001305343326951144,3.7235247637251845e-06
7.434615369342845e-05,9.333691274577264e-05,0.00013293664368606916,3.7917662346123823e-06
7.568627382358728e-05,9.501945515053908e-05,0.00013533269728001844,3.859816119534808e-06
7.702265443154413e-05,9.669730759568896e-05,0.0001377220560729044,3.927661875478422e-06
7.83550600117349e-05,9.837017444110763e-05,0.00014010429892781523,3.995291430673101e-06
7.96832639161534e-05,0.00010003777116421004,0.00014247902055033066,4.062693172363751e-06
8.100704812237135e-05,0.00010169982406874635,0.00014484583107364594,4.129855934858349e-06
8.232620300690893e-05,0.00010335607000032566,0.00014720435565326135,4.196768987847048e-06
8.364052712384004e-05,0.00010500625606851206,0.00014955423407103153,4.263422024986639e-06
8.494982698851885e-05,0.00010665013937535071,0.0001518951203483707,4.329805152744764e-06
8.625391686631638e-05,0.00010828748675018412,0.00015422668236841593,4.395908879498384e-06
8.755261856625843e-05,0.00010991807449062223,0.00015654860150695344,4.461724104881124e-06
8.884576123945826e-05,0.0001115416881095323,0.00015886057227191804,4.52724210937422e-06
9.013318118223978e-05,0.00011315812208791773,0.00016116230195127893,4.592454544135913e-06
9.141472164384908e-05,0.00011476717963355751,0.0001634535102691299,4.657353421064213e-06
9.269023263865439e-05,0.00011636867244528088,0.00016573392904980453,4.721931103088084e-06
9.395957076273666e-05,0.0001179624204827541,0.00016800330188984224,4.7861802946822e-06
9.52225990147748e-05,0.00011954825174165915,0.00017026138383763334,4.850094032600498e-06
9.647918662113183e-05,0.00012112600203414639,0.000172507941080576,4.913665676823871e-06
9.772920886505021e-05,0.00012269551477444622,0.00017474275063958044,4.976888901717443e-06
9.897254691986633e-05,0.0001242566407695262,0.00017696560007076002,5.039757687392932e-06
0.00010020908768615622,0.00012580923801468376,0.0001791762871741518,5.102266311271741e-06
0.00010143872363272614,0.00012735317149396586,0.00018137461970931272,5.1644093398444564e-06
0.00010266135264136415,0.00012888831298530997,0.00018356041511764033,5.226181620622574e-06
0.00010387687785526939,0.00013041454087030224,0.00018573350025127082,5.2875782742783034e-06
0.00010508520753107905,0.000131931739948452,0.00018789371110840966,5.348594686968437e-06
0.00010628625489441317,0.00013343980125588245,0.00019004089257495345,5.409226502838316e-06
